"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions","# of Kitchens","# Rms","Area","Full Baths","Half Baths"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262047397/0/120/90/2a1c18e1129c5e5cf3e38620451799dd/16/733aa5f8e418d4d9b58a6da2c6aa6b3d/262047397.JPG","R2025770","S","310B 2036 LONDON LANE","VWHCR","$53,500","1/11/2016","28","1","1","682","2001","15","Y",,"$370.00","Apartment/Condo","NO","1","4","Whistler","1","0"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262049764/0/120/90/0fdda5ccd5cc1cce07442b33e1dff5b6/16/e661cfd834549c44ca75b2be6b66fe44/262049764.JPG","R2028137","S","306 C 2036 LONDON LANE","VWHCR","$54,000","1/25/2016","11","1","1","681","2001","15",,"1","$350.00","Apartment/Condo","RENR","1","4","Whistler","1","0"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262052436/0/120/90/d484a7aa31fe4ee85f9d626fc5e0b195/16/9ea21cdb04958fbbac24619d01107968/262052436.JPG","R2030809","S","305A 2020 LONDON LANE","VWHCR","$54,000","2/2/2016","7","1","1","592","2008","8","Y","1","$383.14","Recreational","PETR, RENR","1","4","Whistler","1","0"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262042000/0/120/90/544273ebfa18bc31fe041a7708f55e3f/16/8aeaf700e2c566c0fcb65efd53380195/262042000.JPG","R2020373","S","305 2036 LONDON LANE","VWHCR","$54,000","12/12/2015","53","1","1","587","2000","16",,"1","$325.04","Apartment/Condo","PETN","1","4","Whistler","1","0"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262057488/0/120/90/a8b3b8ed901b27ea44a42637000b8076/16/4ccfdc958820145871689f9dc13c1125/262057488.JPG","R2035861","S","205 A 2036 LONDON LANE","VWHCR","$56,900","2/15/2016","3","1","1","587","2001","15","Y",,"$329.69","Recreational","PETN","1","4","Whistler","1","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262036873/0/120/90/ba7691311cf88b8ae92eee6afb56fc05/16/a68d9d7152165ae2f69ee2158ae755d6/262036873.JPG","R2015246","S","336 2036 LONDON LANE","VWHCR","$57,000","11/14/2015","84","1","1","589","2001","15","Y",,"$330.00","Apartment/Condo","PETN","1","5","Whistler","1","0"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262037921/0/120/90/08c7b45657d9a92332929089cb170863/16/a103bf77bb949ea6b9e1c411b1148a42/262037921.JPG","R2016294","S","317B 2036 LONDON LANE","VWHCR","$58,000","11/15/2015","82","1","1","589","2001","15","Y","1","$328.26","Apartment/Condo","NO","1","4","Whistler","1","0"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262009115/0/120/90/ba7b63d5b22970e84026381963f30fa6/16/55ee698e4e8de9094a6a7513b2e77b27/262009115.JPG","V1142459","S","226 1490 PORTAGE ROAD","VPEPE","$73,800","9/5/2015","165","0","1","342","2004","12",,"1","$22.29","Apartment/Condo","PETR, RENY","1","2","Pemberton","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262054467/0/120/90/a2f6b020860c448d888fd1326285872a/16/7d230bcda3edd56e6993fc8be6f7ffea/262054467.JPG","R2032840","S","313 4122 VILLAGE GREEN","VWHVI","$75,000","2/6/2016","4","0","1","524","1987","29","N",,"$502.37","Apartment/Condo","PETY, RENR","0","2","Whistler","1","0"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261958604/0/120/90/f62b1d661b74f0429e2c146880a9a79e/16/16ece7ca368ead3071cc26b3f3db70fd/261958604.JPG","V1139086","S","115 1490 PORTAGE ROAD","VPEPE","$78,500","8/12/2015","193","0","1","342","2005","11",,"1","$35.00","Apartment/Condo","PETY","1","3","Pemberton","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262054928/0/120/90/d53116c9a281690dda79e48b5ba15a1c/16/9b7e1cc7a0841f3cdfcd0d1b126c4470/262054928.JPG","R2033301","S","233 A 2036 LONDON LANE","VWHCR","$82,000","2/10/2016","11","2","2","957","2001","15",,,"$507.49","Apartment/Condo","RENY","1","3","Whistler","2","0"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261432065/0/120/90/24af4df64fc4daed2cfb3f086c41487d/16/acef00381a2538b3fe0ca1020d13cbbb/261432065.JPG","V1097553","S","113 2020 LONDON LANE","VWHCR","$87,000","12/31/2014","407","2","2","1,008","2008","8",,"1","$631.78","Apartment/Condo","PETR, RENR","1","5","Whistler","2","0"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261250626/0/120/90/ce4887ca03b183fdffd8b5b74b01acd4/16/861412e843ca6054878a3ff34e3e8390/261250626.JPG","V1085194","S","1416 4308 MAIN STREET","VWHVI","$95,000","9/12/2014","520","1","1","231","1996","20","N",,"$300.00","Apartment/Condo","PETY, RENR","1","2","Whistler","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262051414/0/120/90/2c65ede6abac6bee15176ffe91bd41a7/16/51282d55c97fda934e87f15001e1c610/262051414.JPG","R2029787","S","2301 4308 MAIN STREET","VWHVI","$95,100","1/27/2016","7","1","1","252","1997","19",,"1","$0.00","Apartment/Condo","RENY","0","1","Whistler","1","0"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262034343/0/120/90/9f145829f0728f8168834edaa50a2f07/16/98d64b63d06da66afbc165840310a4f1/262034343.JPG","R2012716","S","434 C 2036 LONDON LANE","VWHCR","$96,000","11/3/2015","103","1","2","1,023","2001","15",,,"$543.00","Recreational","PETN","1","4","Whistler","2","0"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262037660/0/120/90/cb45be4ea69557ef51d9aaf4f08253ca/16/c12bef514ebae260ac8b2d63c8f903d5/262037660.JPG","R2016033","S","1534 4308 MAIN STREET","VWHVI","$96,000","11/16/2015","77","1","1","235","1998","18",,"1","$0.00","Apartment/Condo","NO","0","1","Whistler","1","0"
