"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262220480/0/120/90/3b42d70f40839567dc711bacd4503991/16/f93a826fa39065239e318ce67c391e24/262220480.JPG","R2198853","S","2911 1128 W HASTINGS STREET","VVWCB","$370,000","8/21/2017","8","1","1","398","1997","20",,,"$23.08","Apartment/Condo","RENY"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262217361/0/120/90/c70196c5e79b42e3eca524d827af0751/16/5d2aa6a1c9ace2956c2cc23f12c8af56/262217361.JPG","R2195734","S","213 1 E CORDOVA STREET","VVEDT","$371,000","8/8/2017","4","0","1","394","1997","20","N","0","$188.21","Apartment/Condo","PETY, RENY"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262240426/0/120/90/8187f941632c13616a249e15c258eebe/16/335da3b089316ee5ba8edc0489604547/262240426.JPG","R2218799","S","2108 1251 CARDERO STREET","VVWWE","$375,000","11/1/2017","0","1","1","651","1968","49","Y","1","$900.00","Apartment/Condo","PETN, RENY"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262212211/0/120/90/b7b1be3c8174bc44b85d049e414d9ff9/15/800a089dce3252c2a40969c0e687f134/262212211.JPG","R2190584","S","2105 1251 CARDERO STREET","VVWWE","$380,000","7/24/2017","9","1","1","620","1968","49","Y","1","$373.00","Apartment/Condo","PETR, RENY"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262239595/0/120/90/b25416f4e30958755c3a7afb1abb5f11/16/fd57ecee75e7d60a5bfc38102873b9a5/262239595.JPG","R2217968","S","408 138 E HASTINGS STREET","VVEDT","$393,250","10/30/2017","7","1","1","448","2015","2",,,"$148.94","Apartment/Condo","PETR, RENR"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262240513/0/120/90/49aa08533b398d8015b46ba22256f64f/16/76d81b398b4beffd3120b33fe4930435/262240513.JPG","R2218886","S","216 22 E CORDOVA STREET","VVEDT","$397,000","10/31/2017","25","0","1","488","1997","20","N","0","$274.55","Apartment/Condo","PETR, RENY"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262243509/0/120/90/4515e61bd000f63ce7be27ac2d2b65bd/16/1f0ced462ecd10ce822fd8cad160f65d/262243509.JPG","R2221882","S","208 138 E HASTINGS STREET","VVEDT","$400,000","11/14/2017","6","1","1","447","2014","3",,"0","$148.94","Apartment/Condo","PETR, RENR"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262248590/0/120/90/3ccdbd76e72d7ee5cbdf3fd6f311bbb8/16/c83eae5af5d5ff2f48488e2c0b0a20a6/262248590.JPG","R2226963","S","216 1189 HOWE STREET","VVWDT","$400,000","12/4/2017","13","0","1","415","1999","19","N","1","$222.27","Apartment/Condo","PETR, RENY"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262213091/0/120/90/e2973b306aa610c6d889ffc68317adcd/16/7ab4279b836cc7957af23b025c968f9c/262213091.JPG","R2191464","S","303 22 E CORDOVA STREET","VVEDT","$400,000","7/24/2017","8","0","1","400","1997","20",,,"$219.64","Apartment/Condo","PETR, RENR"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262224672/0/120/90/83ced1f612b63107732a6564d44f0cfa/16/54146f94f55b3ba517ac2c5d28e866e7/262224672.JPG","R2203045","S","212 138 E HASTINGS STREET","VVEDT","$404,000","9/5/2017","15","1","1","484","2015","2","N","1","$163.47","Apartment/Condo","PETR, RENR"
