"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261517994/0/120/90/8c9aeec17d16a2a978b3654edf3a0059/16/ce0a24d3174ac1c4ae48b86f050a0ab1/261517994.JPG","V1105476","S","3401 1028 BARCLAY STREET","VVWWE","$1,070,000","2/13/2015","7","2","2","1,222","2011","4","N","1","$435.63","Apartment/Condo","PETY, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261419061/0/120/90/99e5f981ff9aa6cc9e97fe43472b15cf/16/3c59b7ab382c8c8c2508994af58645dc/261419061.JPG","V1096849","S","2905 1201 MARINASIDE","VVWYA","$1,075,000","12/15/2014","43","2","2","1,255","1997","17","N","1","$522.21","Apartment/Condo","PETR, RENY"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261492131/0/120/90/4bdceed3e2832bf9c76966064ba19888/16/bac36d09767c699050e10252fb49cc52/261492131.JPG","V1103144","S","3103 535 SMITHE STREET","VVWDT","$1,080,000","2/3/2015","8","2","3","1,100","2010","5","Y","2","$472.34","Apartment/Condo","PETY, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261548558/0/120/90/9e1eb4dfc650325ebea305c9800da966/16/014df3120347d9daff800a8087617274/261548558.JPG","V1108279","S","2101 1189 MELVILLE STREET","VVWCB","$1,087,500","3/2/2015","4","2","2","1,182","2007","8","Y","1","$607.67","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261432076/0/120/90/999566b451fadee2a84711d0a2cf2447/16/d29c58ad9d48e4946f5d15ab583f47bd/261432076.JPG","V1097555","S","3205 583 BEACH CRESCENT","VVWYA","$1,099,000","1/2/2015","16","2","2","1,030","2005","10","N","1","$416.61","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261746975/0/120/90/5e70f0a8fa2afc80d9865a5a22817b3b/16/ad9e9553c95471a59214c8e59ae228f2/261746975.JPG","V1123424","S","1102 1005 BEACH AVENUE","VVWWE","$1,100,000","5/18/2015","7","2","2","1,066","2004","11","Y","2","$580.00","Apartment/Condo","PETY, RENY, RENR"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261422615/0/120/90/a14da56c60f266035dec0a63909a3b5e/16/ac73755b0a06d15373778fdc904f4a7d/261422615.JPG","V1097073","S","3202 888 HOMER STREET","VVWDT","$1,100,000","12/18/2014","107","2","2","1,163","2011","3","Y","2","$610.07","Apartment/Condo","PETY, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261487657/0/120/90/b4ca621212e1525c2089a7c07c0995c3/16/8488667064aea84c65f26232b839525a/261487657.JPG","V1102707","S","1206 198 AQUARIUS MEWS","VVWYA","$1,100,000","2/2/2015","36","2","2","1,273","2000","15","Y","1","$602.22","Apartment/Condo","PETR, RENY"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261654286/0/120/90/8438beffcffa0811e22e5a65f35202a6/16/5cc9685917ad3225f2c5228412e3443f/261654286.JPG","V1116535","S","3708 1033 MARINASIDE CRESCENT","VVWYA","$1,103,000","4/14/2015","7","2","2","1,046","2002","13","Y","1","$423.55","Apartment/Condo","PETR, RENR"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261600207/0/120/90/d4b1b741abe40d0be5f14103d58e7761/16/57873438ee7d752de0eef2623c17ad09/261600207.JPG","V1112353","S","603 1675 HORNBY STREET","VVWYA","$1,105,000","3/23/2015","13","2","2","1,093","1987","28","Y","2","$616.15","Apartment/Condo","PETR, RENY"
