"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262054169/0/120/90/8a25633184a8ff739c1f70657d618ea1/16/999dbf292d2eb7768066ca8295e3cad9/262054169.JPG","R2032542","S","709 1040 PACIFIC STREET","VVWWE","$290,000","2/9/2016","6","1","1","508","1981","35",,,"$243.92","Apartment/Condo","PETR, RENR"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262050502/0/120/90/273e3d2cfd304c9ac6cc9472a9d6cbcb/16/6c6b7adc887b32e3be5cdccf389cdc7b/262050502.JPG","R2028875","S","902 1333 HORNBY STREET","VVWDT","$295,000","1/27/2016","5","0","1","448","1978","38",,"0","$214.00","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262068327/0/120/90/4171bc53fdc0c46d072df09f7ec237f5/16/b59f3d9a24713c254b4f723aff68c786/262068327.JPG","R2046700","S","202 1330 HORNBY STREET","VVWDT","$298,000","3/15/2016","9","0","1","408","1986","30","Y","0","$178.88","Apartment/Condo","PETN, RENY"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262050897/0/120/90/eb68dc96085179aa7f608753df9bde93/16/5e4ba22fafa56d9b8a115a4c11172a6d/262050897.JPG","R2029270","S","401 370 CARRALL STREET","VVEDT","$298,000","1/25/2016","7","0","1","400","1984","32","Y",,"$197.99","Apartment/Condo","PETR, RENY"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262048178/0/120/90/0fc6fc73aebab29683ca0573a69315ac/16/f1a2014f17b44b70d7a3746cdcc34bed/262048178.JPG","R2026551","S","210 1330 BURRARD STREET","VVWDT","$306,000","1/19/2016","6","0","1","463","1976","40",,"0","$199.93","Apartment/Condo","PETN, RENY"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262052797/0/120/90/08a883fc94e10e97e47f98da82f31f70/16/6ac12bcd2dc529f3154e4d81799a1905/262052797.JPG","R2031170","S","1806 1238 SEYMOUR STREET","VVWDT","$307,000","2/3/2016","5","0","1","371","1996","20","Y",,"$162.77","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262051635/0/120/90/f0457ca96ea6d343baeb03677134517e/16/9600be2afc15b29b768f5d354bf67e5f/262051635.JPG","R2030008","S","1207 1003 PACIFIC STREET","VVWWE","$309,700","2/1/2016","13","0","1","422","1997","19","N","1","$210.85","Apartment/Condo","PETR, RENR"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262052677/0/120/90/fe666600433ac293e5a02856d321ee4f/16/f5a68ed9feb95a2168cdf00238cf3620/262052677.JPG","R2031050","S","1001 789 DRAKE STREET","VVWDT","$311,000","2/2/2016","43","0","1","384","1991","25","N","0","$188.94","Apartment/Condo","PETN, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262067159/0/120/90/d29a66174fbce7cc7a42f132d200b8d5/16/ed7f5e67e6e8f45da6e324f4aeb95d0c/262067159.JPG","R2045532","S","807 1250 BURNABY STREET","VVWWE","$312,000","3/14/2016","6","1","1","540","1966","50","N","0","$532.00","Apartment/Condo","PETN, RENY"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262081333/0/120/90/20e07484b0fb407a57064cb564a866db/16/24deefae666a52be6922c800abc13061/262081333.JPG","R2059706","S","705 1330 HORNBY STREET","VVWDT","$313,800","4/18/2016","3","0","1","408","1986","30","Y","0","$178.88","Apartment/Condo","PETN, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262080724/0/120/90/38aa28d28056dcb8759d9bb3df66ae3b/16/599905e65594eeb3bd7f9aeac44c7ec9/262080724.JPG","R2059097","S","1808 1850 COMOX STREET","VVWWE","$317,000","4/18/2016","8","1","1","582","1968","48","Y","0","$294.00","Apartment/Condo","AGER, PETR, RENY"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262050952/0/120/90/65641c9acb005f8dd3c9fe2e9ccd52a0/16/3a3a693a7350cf4fddd1cf311c0db5ae/262050952.JPG","R2029325","S","404 1330 HORNBY STREET","VVWDT","$317,000","1/27/2016","50","0","1","442","1986","30",,,"$192.57","Apartment/Condo","PETN, RENY"
