"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262170606/0/120/90/e2dec9ee9c4887b05f4b20300763d5de/16/8389237c87f5b0e8099cfc97bd02ec2a/262170606.JPG","R2148979","S","1207 939 EXPO BOULEVARD","VVWYA","$608,000","3/21/2017","10","1","1","612","2005","12","Y","1","$330.86","Apartment/Condo","NO"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262159385/0/120/90/58d90bde240adc2647e6362b29a0fe10/16/fd1270c8541381a93c6eb7eec0a3b44f/262159385.JPG","R2137758","S","602 33 W PENDER STREET","VVWDT","$610,000","2/7/2017","3","1","1","767","2008","9",,"1","$363.27","Apartment/Condo","PETR, RENY"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262154934/0/120/90/314aa043cf48ed4717cb3348d5706561/16/c1ff9cade4bdee63be2e0dd40a7d0571/262154934.JPG","R2133307","S","703 68 SMITHE STREET","VVWYA","$610,000","1/23/2017","70","1","1","565","2016","1","Y",,"$238.00","Apartment/Condo","PETY, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262200877/0/120/90/9aa5ce12400903d0b78c35f3fc6015d6/16/73ab3935cf375b6b99ef7550c2a82b15/262200877.JPG","R2179250","S","1102 928 RICHARDS STREET","VVWYA","$610,000","6/19/2017","4","1","1","503","2000","17",,"1","$247.49","Apartment/Condo","PETY, RENY"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262157848/0/120/90/c76d61184047cb73a3e2bb5e81196b26/16/9e7ceb262c6f406e1c7df70c8fd264e7/262157848.JPG","R2136221","S","1507 821 CAMBIE STREET","VVWDT","$610,000","2/2/2017","11","1","1","568","2008","9",,"1","$248.27","Apartment/Condo","NO, PETR"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262181169/0/120/90/3b25b08088d9f29f1f4ca4cd76cc28f9/16/059daea91c89128f8defa4eaae25c80a/262181169.JPG","R2159542","S","509 822 SEYMOUR STREET","VVWDT","$610,000","4/25/2017","7","1","1","531","2004","13","N","1","$268.09","Apartment/Condo","RENY, RENR"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/63ed1da6b1b960795b2d411bf69cfae5/NoPhotoAvailable.jpg","R2179557","S","806 1060 ALBERNI STREET","VVWWE","$610,500","6/19/2017","0","1","1","651","1988","29",,"1","$220.00","Apartment/Condo","PETN"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262178532/0/120/90/252deb3eedbca4444421bf4c5dc2df61/16/6191ba4e39104a266671a788da9ad926/262178532.JPG","R2156905","S","2307 833 HOMER STREET","VVWDT","$611,000","4/18/2017","6","1","1","527","2010","7","N","1","$250.00","Apartment/Condo","PETR, RENY"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262178207/0/120/90/b53eec02288ff0f7417cc10b4f50f38c/16/f4b76a7d320193eb58d9fae2b09bb337/262178207.JPG","R2156580","S","1609 977 MAINLAND STREET","VVWYA","$611,000","4/18/2017","1","1","1","500","2007","10","Y","1","$214.38","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262167022/0/120/90/1ae45ecc1eb6f7c37380ccfdd317725b/16/336975edb2c12d7003faf904d6034b77/262167022.JPG","R2145395","S","301 1188 HOWE STREET","VVWDT","$611,000","3/9/2017","11","2","2","657","1994","23","Y","1","$324.45","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262156767/0/120/90/4573f04aa7b85f45c6f36de511e86a4f/16/5b51786ab8112fe86bb49489acda7d84/262156767.JPG","R2135140","S","1603 1325 ROLSTON STREET","VVWDT","$612,000","1/30/2017","7","1","1","589","2014","3","N","1","$238.93","Apartment/Condo","PETY, RENY"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262185030/0/120/90/c3cbff6ee2fca07e03180b4c1374c350/16/eb3ca032f34764beb3702c3cf5adf5ff/262185030.JPG","R2163403","S","402 1835 BARCLAY STREET","VVWWE","$613,000","5/4/2017","13","1","1","681","1985","32",,"1","$0.00","Apartment/Condo","PETR, RENR"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262129130/0/120/90/c484ccea4473adfd6db50440eed5260f/16/8919a51cfaa4ae4d3525a62f90458764/262129130.JPG","R2107503","S","2003 989 NELSON STREET","VVWDT","$614,000","9/12/2016","127","2","1","631","1995","22","Y",,"$401.18","Apartment/Condo","PETN, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262154959/0/120/90/2afcd8af73a134481107df837684ed30/16/ded416a6c25d9ee725865d3ac14fd6b9/262154959.JPG","R2133332","S","2704 108 W CORDOVA STREET","VVWDT","$614,000","1/23/2017","9","1","1","713","2009","8","N","1","$391.05","Apartment/Condo","PETR, RENR"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262148542/0/120/90/c41aa6ed738d1ed66eee66a2586ca68d/16/1c70ec98aabbbd8bed32319ac73f10f5/262148542.JPG","R2126915","S","2608 438 SEYMOUR STREET","VVWDT","$615,000","12/6/2016","38","2","2","721","1996","21","Y","1","$502.88","Apartment/Condo","PETN, RENY"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262189013/0/120/90/939e939fe4f18bcbbbaecdb97c708cce/16/336aacfa84da16a1d9df06c976002b95/262189013.JPG","R2167386","S","1901 131 REGIMENT SQUARE","VVWDT","$615,000","5/15/2017","5","1","1","563","2007","10","N","1","$272.00","Apartment/Condo","NO"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262180754/0/120/90/143fd00eb898a2cf7aaab32f229b1868/16/f3339c792b37c7665f9f9c7934ad06cd/262180754.JPG","R2159127","S","805 989 BEATTY STREET","VVWYA","$615,000","4/25/2017","7","1","1","575","2004","13","Y","1","$259.72","Apartment/Condo","PETY, RENY"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262150730/0/120/90/028e348bfa120b350d5c9ebe0c119aab/16/679d8cde99ebc4d3ca339dab6d35f921/262150730.JPG","R2129103","S","2214 938 SMITHE STREET","VVWDT","$615,000","1/4/2017","1","1","1","607","2005","12","N","1","$239.35","Apartment/Condo","PETR, RENY"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262197588/0/120/90/dade41a8be67c01361baae1128520d2d/16/8497e7f5157b0b2ccab9f18ce7d65171/262197588.JPG","R2175961","S","710 233 ROBSON STREET","VVWDT","$615,000","6/8/2017","21","1","0","646","2009","8",,"1","$0.00","Apartment/Condo","PETR, RENY"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262156758/0/120/90/ab665389e092cdab3d2602c80d43086e/16/2786c0b38db1dbf209c093f41725fefc/262156758.JPG","R2135131","S","1704 811 HELMCKEN STREET","VVWDT","$615,000","1/26/2017","6","2","2","776","1995","22","Y","1","$401.21","Apartment/Condo","PETR, RENR"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262157090/0/120/90/3eca5e69ff3cd0c4896018788774629e/16/6a45420998dbf2b8d82cef235d9f8740/262157090.JPG","R2135463","S","1816 68 SMITHE STREET","VVWDT","$615,000","1/31/2017","1","1","1","505","2016","1","Y","1","$233.01","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262158322/0/120/90/a1c1c63c4c56e5b368df922a13b3f035/16/2f42c789cc21dd9a75a123c245d6f34b/262158322.JPG","R2136695","S","1201 1288 W GEORGIA STREET","VVWWE","$615,500","2/1/2017","41","1","1","592","1998","19","Y","1","$320.59","Apartment/Condo","PETR, RENY"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262165588/0/120/90/74ed11656b8f70cf7a17f3d896a54521/16/4de97c8652171460d3b7ea5c2f5039ff/262165588.JPG","R2143961","S","1301 833 SEYMOUR STREET","VVWDT","$616,000","3/6/2017","7","1","1","628","2012","5","N","0","$208.31","Apartment/Condo","PETR, RENR"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262157017/0/120/90/659b114feb9b01a2afa21d229fe3bfb7/16/bbd7dbd0bbc12d73ed1cef9746678d79/262157017.JPG","R2135390","S","1708 1001 RICHARDS STREET","VVWDT","$616,000","1/31/2017","7","1","1","602","2004","13","Y","1","$307.56","Apartment/Condo","PETY, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262177743/0/120/90/7ab55b0a2d1ef1de0379ee353d6a69e7/16/064845a5ca439a87acae9d5b0c2ea1af/262177743.JPG","R2156116","S","1501 1225 RICHARDS STREET","VVWDT","$617,000","4/12/2017","12","1","1","501","2003","14","Y","1","$223.16","Apartment/Condo","PETY, RENY"
