"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262145303/0/120/90/e736d3790062b3a0fa0a0ba3fc016685/16/4aacead299a82fe006188ef768817c4d/262145303.JPG","R2123676","S","PH1 1688 ROBSON STREET","VVWWE","$1,045,000","11/14/2016","9","2","3","1,171","1999","17","Y","2","$862.12","Apartment/Condo","PETY, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262143157/0/120/90/84d62f3e77a21a8bad4ea1cc25cd3b96/16/2342184a79fe4c5f33ce903eb6b04a6f/262143157.JPG","R2121530","S","3106 128 W CORDOVA STREET","VVWDT","$1,045,500","11/2/2016","28","2","2","1,143","2009","7","N","1","$633.19","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262147775/0/120/90/8ab56f425ad46c63ba36084826217e63/15/7f499bb4546aed3bd4ebca1882796584/262147775.JPG","R2126148","S","4201 777 RICHARDS STREET","VVWDT","$1,060,000","11/30/2016","22","2","2","884","2016","0","N","1","$433.87","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262129844/0/120/90/493ad84c146e005acd68960334655701/16/eddbb426f32e97c39d98bfea8ef721f9/262129844.JPG","R2108217","S","2902 1372 SEYMOUR STREET","VVWDT","$1,068,000","9/12/2016","107","2","2","981","2013","4","Y","2","$387.74","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262144957/0/120/90/23a44b5cce3ab56afdb00459d943c3ca/16/1dd1e3c3827b088c296792ec4532530c/262144957.JPG","R2123330","S","2A 199 DRAKE STREET","VVWYA","$1,091,000","11/14/2016","46","2","2","1,183","1995","22","N","1","$527.51","Apartment/Condo","PETR, RENY"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/63ed1da6b1b960795b2d411bf69cfae5/NoPhotoAvailable.jpg","R2128288","S","2101 565 SMITHE STREET","VVWDT","$1,100,000","12/22/2016","1","2","2","1,002","2010","6","N","1","$497.63","Apartment/Condo","NO, PETR"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262143809/0/120/90/619e4f4857a5ab6d6b957bbc87a8d2ad/16/530366962f9abecd6d75dfc7edacb70f/262143809.JPG","R2122182","S","411 55 E CORDOVA STREET","VVEDT","$1,115,000","11/8/2016","4","1","2","1,378","2006","10","N","1","$387.56","Apartment/Condo","PETY, RENY"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262134190/0/120/90/a90b39710405c1ddac6d194d09cf3a60/16/006a6262a1ec662494ceb8e34f588d87/262134190.JPG","R2112563","S","2302 838 W HASTINGS STREET","VVWDT","$1,118,000","9/27/2016","79","2","2","917","2011","6","N","1","$546.89","Apartment/Condo","PETR, RENR"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262144608/0/120/90/6cc7b798f6cc6b23cd35e6bfffa9da98/16/1f4ab084c0146d0fa26e71173b8e984f/262144608.JPG","R2122981","S","310 36 WATER STREET","VVWDT","$1,126,000","11/14/2016","0","2","2","1,607","2008","8","N","1","$749.94","Apartment/Condo","PETR, RENR"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262138764/0/120/90/48588b83503426493ba41ed40f83933f/16/a380617e877b568d8c0bf4d77b8b3f7c/262138764.JPG","R2117137","S","807 980 COOPERAGE WAY","VVWYA","$1,150,000","10/17/2016","30","2","2","1,076","2007","9",,"1","$546.32","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262145416/0/120/90/20deb66e59792ff1da9a5d8df8a8f914/16/a019c43e524c0c455aedde62eed36b06/262145416.JPG","R2123789","S","102 1388 HOMER STREET","VVWYA","$1,164,500","11/16/2016","7","2","2","1,233","1995","22","Y","1","$513.77","Apartment/Condo","PETR, RENR"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262144536/0/120/90/60685c3fb681be96d98a7c489b68d336/16/c9c6dffedd416d5502e33fa482208c4d/262144536.JPG","R2122909","S","2806 1077 W CORDOVA STREET","VVWCB","$1,169,000","11/14/2016","8","1","1","780","2004","12","Y","1","$416.38","Apartment/Condo","PETR, RENY"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262137461/0/120/90/21e5fd890d11cf76b98ce3fafddd0098/16/6f20d02a52deeb7f5276c45e324525e7/262137461.JPG","R2115834","S","2302 1201 MARINASIDE CRESCENT","VVWYA","$1,178,000","10/11/2016","25","2","2","1,012","1996","20","N","1","$433.23","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262135787/0/120/90/fddfa27f285f731e00beb1bdc867cbb4/16/6ece321da0554d11a418f68fac898dc6/262135787.JPG","R2114160","S","PH #8 188 KEEFER STREET","VVEDT","$1,180,000","10/4/2016","34","2","3","1,004","2016","0","Y","2","$390.00","Apartment/Condo","PETY, RENY"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262139781/0/120/90/e521c29bdf23f4cf598ad472f65e07de/16/8d489b3e6b770ecbe4b56af1c6b8fe0f/262139781.JPG","R2118154","S","701 1483 HOMER STREET","VVWYA","$1,180,000","10/20/2016","18","2","2","1,108","2004","12","Y","2","$607.99","Apartment/Condo","PETR, RENY"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262133228/0/120/90/e4faa06b1d8fa69b992fc35a3bd2a3e3/16/1d065c1c5bfe36274e54223fe8956af3/262133228.JPG","R2111601","S","2302 289 DRAKE STREET","VVWYA","$1,180,000","9/22/2016","57","2","2","1,210","1993","23","Y","1","$476.69","Apartment/Condo","PETN, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262147330/0/120/90/acc3185547c6077bac4ec484d3747ef5/16/ccb130184aefb400ecde0f7562c5ae6c/262147330.JPG","R2125703","S","2108 198 AQUARIUS MEWS","VVWYA","$1,189,000","11/27/2016","8","2","2","1,000","1999","17","Y","2","$497.42","Apartment/Condo","PETR, RENY"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262136693/0/120/90/84a6a58e7d2bb4e824bd1ddbcba74f80/16/108489a2b33f0e0d8ab0d6aff8ba436e/262136693.JPG","R2115066","S","4608 777 RICHARDS STREET","VVWDT","$1,190,000","10/7/2016","26","2","2","914","2016","0","N","1","$449.74","Apartment/Condo","PETR, RENY"
