"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262032512/0/120/90/6428e4184a9b7160a821130c69cf917a/16/232e858061ad9607cef9fba4525593f8/262032512.JPG","R2010885","S","2203 989 BEATTY STREET","VVWYA","$1,010,000","10/26/2015","7","2","2","1,274","2004","11","Y","3","$581.96","Apartment/Condo","PETY, RENY"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262025399/0/120/90/2ccc65d81e434d56074cde133c8d203b/16/a0e95ef0d6570d626b05525d1fed6669/262025399.JPG","R2003772","S","2703 1367 ALBERNI STREET","VVWWE","$1,018,000","9/25/2015","75","3","3","1,323","1999","16",,,"$672.00","Apartment/Condo","NO"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261944827/0/120/90/1b1d673cc44c396a6bc56a0b153e43f5/16/65832481e016224f4c66695f76c74397/261944827.JPG","V1138116","S","401 1650 BAYSHORE DRIVE","VVWCB","$1,040,000","8/5/2015","99","2","2","1,215","2003","12","Y","1","$635.00","Apartment/Condo","PETR, RENN"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262033290/0/120/90/ed75cd87e2413f9c28b035597f071344/16/4808cdae22640d86c97070bc645efcff/262033290.JPG","R2011663","S","1107 980 COOPERAGE WAY","VVWYA","$1,045,000","10/27/2015","44","2","2","1,076","2007","8","N","1","$520.72","Apartment/Condo","PETR, RENY"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262038882/0/120/90/ac3e0bd3cd272294e8394141c7a4c649/16/c63c0b1618eb207f9364933899bc02e3/262038882.JPG","R2017255","S","1905 1328 W PENDER STREET","VVWCB","$1,049,000","11/23/2015","9","2","2","1,004","2003","12","Y","1","$370.81","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262034311/0/120/90/e94264dec3da4076ac1143f82b586074/16/5f76733acc4561712c53f47470088ac2/262034311.JPG","R2012684","S","301 1710 BAYSHORE DRIVE","VVWCB","$1,050,000","11/3/2015","4","2","2","1,185","1997","18","Y","1","$673.54","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261980916/0/120/90/1ae0fe3464fff7ea16c94af45f390ad4/16/3bdaa6a38e6086701e0f467349c6e00c/261980916.JPG","V1140520","S","2702 1028 BARCLAY STREET","VVWWE","$1,060,000","8/24/2015","89","2","2","1,075","2011","4","N","1","$405.37","Apartment/Condo","PETR, RENR"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262033590/0/120/90/29db463efba546d7ecde533fbaea1605/16/7fc423bfa62d61baff430b6c3757e7ba/262033590.JPG","R2011963","S","202 2015 HARO STREET","VVWWE","$1,068,000","10/30/2015","38","3","2","1,428","1950","65",,"1","$406.00","Apartment/Condo","PETN, RENN"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262030642/0/120/90/f583aa8694fb2a8797e8b618c418d158/16/14c9d0225b2a7be1a2ee5998f94feb93/262030642.JPG","R2009015","S","2205 1111 ALBERNI STREET","VVWWE","$1,075,000","10/16/2015","28","2","2","1,094","2008","7","Y","1","$884.62","Apartment/Condo","NO"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262033302/0/120/90/4c07c279e6f0b1380cdf4ab8d86bfb0b/16/6383c761d8f53e375731f6e4645ceea2/262033302.JPG","R2011675","S","703 1211 MELVILLE STREET","VVWCB","$1,080,000","10/28/2015","7","3","2","1,269","2007","8","Y","1","$600.06","Apartment/Condo","PETY, RENY"
