"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262089901/0/120/90/45fee0fe8b3e31adafc9ab7cf01fb876/16/28da9f1d22528c33c1ecbcc5408e2a48/262089901.JPG","R2068274","S","301 1835 BARCLAY STREET","VVWWE","$635,000","5/11/2016","5","1","1","785","1986","30",,"1","$330.21","Apartment/Condo","RENR"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262124742/0/120/90/73c0e4c575d296f7c3e730f87d7b9118/16/b55d5c172cf63483125bc058449b1361/262124742.JPG","R2103115","S","904 550 TAYLOR STREET","VVWDT","$635,000","8/23/2016","36","2","2","785","2005","11","Y","1","$343.16","Apartment/Condo","PETR, RENY"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262127672/0/120/90/f7b1155c6402a80827c1eec6b75d8229/16/a4cd9658e6db36390c08a0ddf5f834fb/262127672.JPG","R2106045","S","1756 38 SMITHE STREET","VVWDT","$635,000","9/6/2016","4","1","1","562","2016","2","Y","1","$238.00","Apartment/Condo","PETY, RENY"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262088520/0/120/90/477575074b6cb0f85718f2a3abd2318b/16/ec843d221091999f037ab874279f50b5/262088520.JPG","R2066893","S","1907 1495 RICHARDS STREET","VVWYA","$636,000","5/9/2016","8","1","1","534","2004","12","Y","1","$259.78","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262083800/0/120/90/3230e899b2eca0fd9a51530c98385e2f/16/fa7da0d4718c6a1ab5cdb833f3057592/262083800.JPG","R2062173","S","1708 788 HAMILTON STREET","VVWDT","$636,000","4/25/2016","10","1","1","785","2009","7","N","1","$285.75","Apartment/Condo","PETY, RENY"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262096952/0/120/90/3dbcc8071cf911d2ead7be210b1d0758/16/8a986afb720975ca55dd28154107c5a4/262096952.JPG","R2075325","S","802 1009 HARWOOD STREET","VVWWE","$637,000","5/31/2016","5","1","1","589","2014","2","Y","1","$260.57","Apartment/Condo","PETY, RENY"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262125963/0/120/90/16cfcd664ab1f75f66dd3402edba8bd2/16/5fd7e115e19f5fc4610a357ebdc39842/262125963.JPG","R2104336","S","301 1420 W GEORGIA STREET","VVWWE","$638,888","8/26/2016","11","2","1","794","2002","14","N","1","$369.92","Apartment/Condo","PETN, RENY"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262121111/0/120/90/537ea85d8a05c6fcf4066502febcba27/16/d9cf93ac5abbb8e1f2a6b5afd97115ba/262121111.JPG","R2099484","S","1307 1133 HOMER STREET","VVWYA","$639,000","8/9/2016","7","1","1","647","2008","8","N","1","$239.69","Apartment/Condo","PETY, RENY"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262099256/0/120/90/bec4cae1994f21af2f723a6fc70a155c/16/f24cb5e6b5f0b872c9a4ba035c0989b1/262099256.JPG","R2077629","S","1306 1383 HOWE STREET","VVWDT","$639,900","6/6/2016","23","2","2","844","1994","22","N","1","$422.23","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262112367/0/120/90/bb904060654198c57b7a42e0ed89fc12/16/1b8d673b0601c3b9b08fd4edaba041df/262112367.JPG","R2090740","S","2608 128 W CORDOVA STREET","VVWDT","$640,000","7/13/2016","8","1","1","745","2009","7","N","1","$412.17","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262126206/0/120/90/7881ca1d83c578066f650596d06e544b/16/a09ea8c145baae8ace76638ea08a7aac/262126206.JPG","R2104579","S","1808 788 HAMILTON STREET","VVWDT","$640,000","8/29/2016","10","1","1","785","2009","7","N","1","$285.75","Apartment/Condo","PETY, RENY"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262118371/0/120/90/0706459218ea42d46365cc0a2527780f/16/0dddcdf1b0a6b48ca27bba96d3635621/262118371.JPG","R2096744","S","2804 838 W HASTINGS STREET","VVWDT","$640,000","8/2/2016","15","1","1","601","2011","5","N","1","$372.29","Apartment/Condo","PETR, RENR"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262111231/0/120/90/d7d5f10f62cc153f2588951540bfd7b9/16/dcae3eed030ea120005215bf6f54f5ad/262111231.JPG","R2089604","S","1005 950 CAMBIE STREET","VVWYA","$640,000","7/11/2016","30","2","2","865","1994","22","N","1","$407.24","Apartment/Condo","PETN, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262127932/0/120/90/d8810c0b2efd7accd0161dc024400b5f/16/de00bf1bcd312e5602e1576f822ccf94/262127932.JPG","R2106305","S","2308 788 HAMILTON STREET","VVWDT","$640,000","9/6/2016","9","1","1","781","2009","7",,"1","$286.00","Apartment/Condo","PETR, RENR"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262108142/0/120/90/3866b9b56ff6403b5d6a5512ea27682b/16/39a9b2d61bd418db5a7f3c488b048439/262108142.JPG","R2086515","S","2207 939 EXPO BOULEVARD","VVWYA","$640,000","6/30/2016","8","1","1","615","2005","11","Y","1","$330.84","Apartment/Condo","PETY, RENY"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262107191/0/120/90/bbd1a152f17707ddc006e3f8ac888fdf/16/6e59c680b37efd5023c46ea6ebf5c12a/262107191.JPG","R2085564","S","1304 819 HAMILTON STREET","VVWDT","$640,100","6/28/2016","15","2","1","722","1998","18","Y","1","$334.35","Apartment/Condo","PETY, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262124121/0/120/90/1cfc5e41dc36d99aef958b9cadb1850f/16/a4e6e75bb72ad40f168619e290fea768/262124121.JPG","R2102494","S","2101 833 HOMER STREET","VVWDT","$640,300","8/22/2016","7","1","1","644","2010","6",,"1","$289.92","Apartment/Condo","PETY, PETR, RENY"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262088821/0/120/90/71cfadafe7bea5719c984e63922c32fc/16/370f218c06be116106a8f57f5bccfa9e/262088821.JPG","R2067194","S","211 1082 SEYMOUR STREET","VVWDT","$642,000","5/9/2016","7","2","2","856","2006","10","N","1","$400.29","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262098803/0/120/90/f11a064a5975708f65f850ad4ad6987b/16/ec080a0283ef590fd3755efb7aebd034/262098803.JPG","R2077176","S","704 888 HOMER STREET","VVWDT","$643,000","6/6/2016","7","1","1","602","2011","5","Y","1","$293.93","Apartment/Condo","PETY, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262092197/0/120/90/d81b5f4cd6e25bbca5dbef1dd8082932/16/bce507ad617e65a52a5a2fbe17d08aee/262092197.JPG","R2070570","S","506 550 PACIFIC STREET","VVWYA","$643,000","5/17/2016","9","1","1","761","2005","11",,"1","$352.36","Apartment/Condo","PETR, RENY"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262121684/0/120/90/b0840c0f48b3ec1e18af0cd34e6a741f/16/6139f616cf62669ce4d37a3462ec8774/262121684.JPG","R2100057","S","3505 193 AQUARIUS MEWS","VVWYA","$643,800","8/10/2016","39","1","1","628","2000","16","N","1","$276.05","Apartment/Condo","PETY, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262109526/0/120/90/9ae45ba30d9398a6c9d0727a6d2254a2/16/c401801cd8789bf23496e26908417229/262109526.JPG","R2087899","S","605 1155 SEYMOUR STREET","VVWDT","$645,000","7/5/2016","7","1","1","618","2006","10","Y","1","$267.39","Apartment/Condo","PETR, RENR"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262118768/0/120/90/4418e1628563261d50780b2daddfb814/16/e506231a48f6b5bc1f9abe57740668a7/262118768.JPG","R2097141","S","301 950 CAMBIE STREET","VVWYA","$645,000","8/1/2016","4","2","2","1,103","1993","23","N","1","$516.00","Apartment/Condo","PETN, RENY"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262093317/0/120/90/c9b98334808359cbad18299ffaf18835/16/a2cbcf0dc81913811a7150891d4e5233/262093317.JPG","R2071690","S","202 1725 PENDRELL STREET","VVWWE","$645,500","5/20/2016","15","1","1","731","1974","42","Y","1","$413.68","Apartment/Condo","PETR, RENN"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262120852/0/120/90/e35b54061f309177cc566468aca30304/16/ac85eb102f07604a8b79967acb899b20/262120852.JPG","R2099225","S","1607 1331 W GEORGIA STREET","VVWCB","$648,000","8/9/2016","6","1","1","617","1997","19","N","1","$404.25","Apartment/Condo","PETY"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262137749/0/120/90/920f5452c9ac27d46e51125054e1482e/16/425241817566b1fbdc2d68d863315fe7/262137749.JPG","R2116122","S","2105 950 CAMBIE STREET","VVWYA","$648,000","10/12/2016","14","2","2","865","1993","23","N","1","$407.24","Apartment/Condo","PETN"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262100112/0/120/90/1f0542dd3ddf0bd5ae7b74dafd10acf4/16/cc3cd1e475b48a617a794fb96b05ddd5/262100112.JPG","R2078485","S","3301 233 ROBSON STREET","VVWDT","$648,800","6/7/2016","5","1","1","685","2009","7","N","1","$234.90","Apartment/Condo","PETY, RENY"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262129726/0/120/90/d39085b0fc3d76b4e74df04df2d85767/16/6bf86ffbf785c49c86b67eea65353456/262129726.JPG","R2108099","S","405 1275 HAMILTON STREET","VVWYA","$649,000","9/12/2016","15","1","1","676","2002","14","Y","1","$301.57","Apartment/Condo","PETR, RENY"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262083023/0/120/90/c348163a8d861ef3c83d6d1e82275874/16/05cea35aa29377a7754e131ca53bbd7b/262083023.JPG","R2061396","S","1509 1068 HORNBY STREET","VVWDT","$649,900","4/25/2016","20","2","2","745","2000","16","Y","1","$350.87","Apartment/Condo","PETY, PETR, RENY"
