"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions","# of Kitchens","# Rms","Area","Full Baths","Half Baths"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261427221/0/120/90/f5d3799b29bf72918a27e9b4dd6c15ab/16/acc25a0d3af27362875c02658c2a6c82/261427221.JPG","V1098133","S","337 4315 NORTHLANDS BOULEVARD","VWHVI","$45,000","12/23/2014","36","0","1","283","1998","16",,,"$270.57","Apartment/Condo","NO","0","1","Whistler","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261417926/0/120/90/33ce7bd503e87e7433e564c5dde18517/16/ad7842cac3009732f7597edffcc2e426/261417926.JPG","V1097049","S","204B 2020 LONDON LANE","VWHCR","$46,000","12/12/2014","36","1","1","596","2008","6",,"1","$383.18","Apartment/Condo","PETR, RENR","1","3","Whistler","1","0"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261427402/0/120/90/c30dd2a748a1c571f98d96d91ef8cc34/16/14c6151a5e9cdddc48f9c350b4296766/261427402.JPG","V1097301","S","403 4653 BLACKCOMB WAY","VWHBE","$81,000","12/23/2014","38","2","2","941","2000","14",,"2","$396.00","Apartment/Condo","PETN, RENY","1","5","Whistler","2","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261457572/0/120/90/2b049fb865124ca4a00b80e985badfa6/16/ee08d2dd479ad0f219592f722cd83e4b/261457572.JPG","V1100035","S","101 4653 BLACKCOMB WAY","VWHBE","$82,000","1/15/2015","15","2","3","1,230","2000","15","Y",,"$509.33","Recreational","PETN, RENY, SMKG","1","5","Whistler","2","1"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261219685/0/120/90/d4543da281402f0f27f0eed535c5187c/16/ee8d0be403c5d3ea43d329a8efaf506e/261219685.JPG","V1082506","S","401-G2 4653 BLACKCOMB WAY","VWHBE","$83,000","8/29/2014","145","2","2","1,100","2000","14","Y",,"$461.00","Apartment/Condo","NO","1","5","Whistler","2","0"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261309885/0/120/90/e326f04be7096d7a613572d14d8f69f6/16/ed377010a36124743ec69bdb88e76454/261309885.JPG","V1089624","S","14F 2300 NORDIC DRIVE","VWHNO","$89,000","10/10/2014","110","3","5","2,495","2002","12",,"2","$845.33","1/2 Duplex","RENR","1","8","Whistler","3","2"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261317087/0/120/90/6e84e83f8993486ca58220245931cce3/16/ef4f89c5501ee68698f9973ed2fe74e0/261317087.JPG","V1090152","S","7 11900 228TH STREET","VMREC","$90,600","10/14/2014","109","2","2","880","1984","30",,"1","$225.00","Apartment/Condo","PETN, RENR","1","5","Maple Ridge","1","1"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261411845/0/120/90/8e0885e345157ed1513cef90d7384de7/16/3cffc4c0c689a81ca524480506c98dbd/261411845.JPG","V1096477","S","209 9260 NO 2 ROAD","VRI50","$91,000","12/8/2014","32","1","1","720","1994","20","Y","1","$430.82","Apartment/Condo","AGER, PETR, RENR","1","4","Richmond","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261439774/0/120/90/876f72035bb449b094b3b824de2a73a7/16/3125188a31f5a1acf45459bc625e763e/261439774.JPG","V1098371","S","306 910 FIFTH AVENUE","VNWUP","$93,000","1/6/2015","6","0","1","411","9999","999","Y","1","$217.00","Apartment/Condo","AGER, PETR, RENN","1","3","New Westminster","1","0"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261470426/0/120/90/5230ae394e91259f738af8af663f2296/16/8881991b71fff4684c2435e54153d39e/261470426.JPG","V1101198","S","111 36 E 14TH AVENUE","VVEMP","$95,000","1/22/2015","7","0","1","516","9999","999","Y","0","$309.98","Apartment/Condo","AGER, PETN, RENY","1","4","Vancouver East","1","0"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261454270/0/120/90/fb3e2912791d9ed7fa013915775eb333/16/64c2a9667098a627f2d9e907d8cd650f/261454270.JPG","V1099783","S","209 12170 222ND STREET","VMRWC","$98,000","1/12/2015","19","1","1","765","1976","39","N","1","$210.00","Apartment/Condo","PETR, RENN","1","5","Maple Ridge","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261447260/0/120/90/644ac1174fb39e5b2850a006f5888bdf/16/f88d56a9599600fb03b27c307384c7d2/261447260.JPG","V1099127","S","111 12096 222ND STREET","VMRWC","$99,000","1/11/2015","18","2","1","847","1972","43","Y","0","$268.53","Apartment/Condo","AGER, PETR, RENN","1","5","Maple Ridge","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260953547/0/120/90/e5fd30e6917de3ad1f8135c051a4e50c/16/8f863062b2561a68e3aed6e5b3a04c28/260953547.JPG","V1062135","S","219 12170 222ND STREET","VMRWC","$100,000","5/1/2014","265","2","1","890","1976","38",,"1","$243.44","Apartment/Condo","PETR, RENN","1","5","Maple Ridge","1","0"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261418561/0/120/90/f085f4c3272a271f47284002bcc48381/16/0b4b9b058603ece24a6324a1b0a1d0b3/261418561.JPG","V1097138","S","412D 2020 LONDON LANE","VWHCR","$105,000","12/12/2014","35","2","2","1,008","2008","6",,"1","$650.14","Apartment/Condo","PETR, RENR","1","5","Whistler","2","0"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261438491/0/120/90/9fa4f4a012bbacc3028d56531eca9e34/16/d45dd8b644803cf64b060380770e1b60/261438491.JPG","V1098244","S","407 12025 207A STREET","VMRNW","$119,200","1/6/2015","15","1","1","750","1993","22",,"1","$185.00","Apartment/Condo","PETR, RENY","1","5","Maple Ridge","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261375846/0/120/90/04c896f75a7408b2f2e18c28e03a115e/16/671137d7e9ce2f16f753d65f1de645ce/261375846.JPG","V1094068","S","110 5477 WHARF AVENUE","VSCSD","$122,000","11/13/2014","61","1","1","951","1982","32","Y",,"$260.19","Apartment/Condo","PETR","1","7","Sunshine Coast","1","0"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/db59a22ee327cd824769da377e288747/NoPhotoAvailable.jpg","V1083091","S","103 225 MOWAT STREET","VNWUP","$122,000","9/3/2014","127","1","1","501","1983","31","Y","1","$250.00","Apartment/Condo","PETR, RENR","1","4","New Westminster","1","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261426757/0/120/90/572a5e32b6442c0cb3aab2e81cb2fd16/16/4dc44a03c81508b1169ee41957a42167/261426757.JPG","V1097277","S","532B 2036 LONDON LANE","VWHCR","$125,000","12/22/2014","12","3","2","1,230","2001","13",,"1","$611.17","Apartment/Condo",,"0","3","Whistler","2","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261162700/0/120/90/1e6f51cef1413a00821d51180a55e452/16/a3722b5f67ca9a2dcab602c35ac6a4ee/261162700.JPG","V1078342","S","142 4899 PAINTED CLIFF ROAD","VWHBE","$129,800","7/31/2014","176","1","1","560","1996","18","Y","1","$430.00","Apartment/Condo","PETY, RENR","1","4","Whistler","1","0"
