"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions","# of Kitchens","# Rms","Area","Full Baths","Half Baths"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261367574/0/120/90/53861967cdd19eba63ee22c372b84dc4/16/fc06ed590833448e257a95d4c1c3b476/261367574.JPG","V1093581","S","313 G3 4653 BLACKCOMB WAY","VWHBE","$51,250","11/10/2014","92","1","1","715","2000","14","Y",,"$312.00","Recreational","NO","1","4","Whistler","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261529113/0/120/90/0f08b9355ce3b37a5ff2a4e4e4d7c501/16/e85fa8d1414675dbee124824a9ef48c2/261529113.JPG","V1106490","S","802 5911 MINORU BOULEVARD","VRI60","$58,000","2/20/2015","2","0","1","478","1999","16",,,"$0.00","Other","NO","0","1","Richmond","1","0"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261457499/0/120/90/e9fdf241f6590516001b1311f0036fc6/16/16492f033d29f89d63d4db809946daa4/261457499.JPG","V1100031","S","226 2036 LONDON LANE","VWHCR","$72,000","1/15/2015","38","2","2","1,006","2001","14","Y","1","$534.00","Recreational","PETN","1","5","Whistler","2","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260823586/0/120/90/d0d1d60ab84567192870d3e90d8a6a56/16/10d36aca1090bba1c993afae7e44b93f/260823586.JPG","V1051336","S","214D 2036 LONDON LANE","VWHCR","$74,000","3/3/2014","341","2","2","973","2001","13","Y","1","$489.99","Apartment/Condo","RENY","1","5","Whistler","2","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261374716/0/120/90/f3dc6e998bde3621931cfdf1a241dbcb/16/89e202d7655c8db358aa3c49bc48b8c7/261374716.JPG","V1094001","S","104 G1 4653 BLACKCOMB WAY","VWHBE","$78,500","11/12/2014","92","2","3","1,214","2000","14","Y",,"$504.64","Townhouse","PETN, RENR","1","4","Whistler","3","0"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261274391/0/120/90/52542075f287c264dc73af1a5d6f39a8/16/5c1e155e4b17fe3455cd23b85df2357c/261274391.JPG","V1086861","S","528 B 2036 LONDON LANE","VWHCR","$80,000","9/24/2014","143","2","2","912","2001","13",,,"$478.02","Apartment/Condo","PETN","1","4","Whistler","2","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260902246/0/120/90/38d04586e70c7f8398647ed48606673d/16/b85d0a98bc6178140e9e0771d3593036/260902246.JPG","V1058172","S","437B 2036 LONDON LANE","VWHCR","$80,000","4/10/2014","314","2","2","892","2001","13",,,"$432.33","Apartment/Condo","NO","1","5","Whistler","2","0"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261539453/0/120/90/2ae5585d499d464e70757d9fac4dc01f/16/7c99c942214e18a7051a965b01a2f75d/261539453.JPG","V1107416","S","212 611 BLACKFORD STREET","VNWUP","$91,000","2/25/2015","1","1","1","546","1964","51",,"1","$391.86","Apartment/Condo","PETR, RENY","1","4","New Westminster","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261308696/0/120/90/aa779e7f9a07e69461ec6921cf4704bb/16/5b2e1fbdcb2fc9ad94e336564a81dc79/261308696.JPG","V1089577","S","126 4220 GATE WAY DRIVE","VWHVI","$99,950","10/8/2014","132","0","0","366","1987","27",,"1","$328.00","Apartment/Condo","PETN","0","1","Whistler","0","0"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261490945/0/120/90/de87fd88494cedb78a8e107ceaf349aa/16/a0986532c5e761205638488d1d26f298/261490945.JPG","V1103292","S","120 4220 GATE WAY DRIVE","VWHVI","$100,000","2/2/2015","5","0","1","474","1982","33",,,"$330.00","Apartment/Condo","PETN, RENY","1","2","Whistler","1","0"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261476086/0/120/90/8a8d0958f31a3933548b1463b5e6b0eb/16/dffa0d41a80b2849907fd9e170a29f56/261476086.JPG","V1101687","S","307 11671 FRASER STREET","VMREC","$100,000","1/27/2015","30","2","1","705","1993","22","N","1","$273.00","Apartment/Condo","PETR, RENR","1","5","Maple Ridge","1","0"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261513464/0/120/90/37a0bf0cec96a6a1bb34d4d95fe147d2/16/84a11169ae9015d4c4bee857cf8564c8/261513464.JPG","V1105108","S","13J 2300 NORDIC DRIVE","VWHNO","$103,000","2/13/2015","12","4","5","2,618","2002","13","Y","4","$845.33","1/2 Duplex","PETN, RENR","1","9","Whistler","5","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261462525/0/120/90/1b1dc06ebba22979cfa4ded9f8806932/16/3fb228a8b640813f292cccf9e632d9c0/261462525.JPG","V1100526","S","402 20561 113 AVENUE","VMRSW","$114,000","1/20/2015","28","1","1","651","1993","22","Y","1","$263.11","Apartment/Condo","PETY, RENN","0","1","Maple Ridge","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261446897/0/120/90/6903b4620573c9919e82f3c224979d30/16/369387279e46e9f06a4a8cfaa7c1eec5/261446897.JPG","V1099402","S","101 320 ROYAL AVENUE","VNWDT","$114,000","1/12/2015","42","1","1","488","1975","40",,"1","$206.74","Apartment/Condo","PETR, RENR","1","3","New Westminster","1","0"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261323936/0/120/90/dbe34c842eac6628f18ff8ffa38f0dfe/16/85b193695e47e3808d35ad744363241d/261323936.JPG","V1090625","S","306 12096 222ND STREET","VMRWC","$114,500","10/17/2014","114","2","1","840","1977","37","Y","1","$286.00","Apartment/Condo","AGER, PETR, RENN","1","5","Maple Ridge","1","0"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261296096/0/120/90/d99c5cda72fae74a989f5505f5ce678f/16/c0be107130dc41a86eec27257eb00b5a/261296096.JPG","V1088627","S","432A 2036 LONDON LANE","VWHCR","$119,000","10/6/2014","143","3","2","1,230","2001","13",,,"$620.00","Recreational","PETN, RENR","0","4","Whistler","2","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261244320/0/120/90/b01ed74bd171da4c5eafa506e3862ca2/16/eb0fa8130d9b79cee775743abdf5082b/261244320.JPG","V1084541","S","309 11595 FRASER STREET","VMREC","$120,000","9/9/2014","148","2","1","727","1991","23","N","1","$150.00","Apartment/Condo","PETR, RENN","1","5","Maple Ridge","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261395467/0/120/90/77c665d99ecd619c5b1906ce0c72440e/16/ef67873d9bb12591f0a33ab5e33b3fcb/261395467.JPG","V1095349","S","308 605 COMO LAKE AVENUE","VCQCW","$120,000","11/27/2014","70","1","1","698","1972","42","Y","1","$299.24","Apartment/Condo","AGER, PETR, RENR","1","5","Coquitlam","1","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261325672/0/120/90/8739069b3435bf1025e32d3862386f90/16/8a66c759477f8bb86923895ab2705a9c/261325672.JPG","V1090721","S","109 11510 225TH STREET","VMREC","$122,500","10/20/2014","108","1","1","718","1988","26",,"1","$170.43","Apartment/Condo","AGER, PETR, RENN","1","5","Maple Ridge","1","0"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261354361/0/120/90/b4637b6b3c0fba979a75c6df5d60b3f9/16/0ab749d4e50022f04aef9b66c72baa3d/261354361.JPG","V1092589","S","105 466 E EIGHTH AVENUE","VNWSA","$125,000","11/3/2014","91","1","1","604","1974","40","Y","1","$269.42","Apartment/Condo","PETR, RENR","1","5","New Westminster","1","0"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261468880/0/120/90/6146a92513a26c9e9d041c759d747f0a/16/d6e1d1f4010011fa251b4dabc9e28df3/261468880.JPG","V1101040","S","314 610 THIRD AVENUE","VNWUP","$125,000","1/22/2015","20","1","1","612","1968","47","Y","1","$226.71","Apartment/Condo","PETR, RENR","1","6","New Westminster","1","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261496655/0/120/90/5418be39ddd872d6477c0565b58ef9d1/16/fd58ec099b9df5a282a7c6567d563d14/261496655.JPG","V1103556","S","112 605 COMO LAKE AVENUE","VCQCW","$126,000","2/3/2015","7","1","1","759","1971","44",,"1","$313.70","Apartment/Condo","PETR","1","5","Coquitlam","1","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261481102/0/120/90/5f41ada9adf28f828670c9cdee5e471e/16/57230621b0a8f05c4f44adc58562b395/261481102.JPG","V1102072","S","310 630 CLARKE ROAD","VCQCW","$127,000","1/28/2015","20","1","1","616","1968","47","Y","1","$240.00","Apartment/Condo","AGER, PETN, RENY","1","3","Coquitlam","1","0"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261461282/0/120/90/a54249f1d84e946f5cb67b7c01a0fd47/16/2648c4011fec63932a9e64c1aeec6038/261461282.JPG","V1101160","S","348 8111 RYAN ROAD","VRI54","$132,000","1/23/2015","28","3","2","1,076","1973","42","N","1","$624.11","Apartment/Condo","PETN, RENY","1","7","Richmond","1","1"
