"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Frontage - Feet","Depth","#Kitchens","TypeDwel","Style of Home","# Rms","Area","Full Baths","Half Baths"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262003222/0/120/90/9de4331e44d1dcb60bdc635cf3b186fb/16/7efc525ea8dd6db55402ad34508985de/262003222.JPG","V1142074","S","9 201 CAYER STREET","VCQML","$23,500","9/3/2015","18","2","1","720","1968","47","0.00",,"1","MANUF","MANUF","4","Coquitlam","1","0"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261833354/0/120/90/bc286b9cd5ea54d20828c26ec6ad1736/16/a1f7001c8ebe50a073ee97e04de4aaa3/261833354.JPG","V1130144","S","LOT D SECHELT INLET","VSCPE","$30,000","6/19/2015","83","0","0","534","1990","25","64.00","272","1","HOUSE","1ST","1","Sunshine Coast","0","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262019627/0/120/90/f15f875f751692fad1066c946a12bd79/16/4eb6d3647db2cb5370b34bc99c16eb74/262019627.JPG","V1143585","S","5374 SUNSHINE COAST HIGHWAY","VSCSD","$48,000","9/10/2015","3","2","1","998","9999","999","50.00","100","1","HOUSE","RANBG","7","Sunshine Coast","1","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261889414/0/120/90/0a38cf93c6e2dd15024971f4692996c9/16/f6e37e32d2add53117d091797d574377/261889414.JPG","V1134334","S","30 40022 GOVERNMENT ROAD","VSQGE","$84,000","7/14/2015","71","1","1","425","2006","9","0.00",,"1","MANUF","MANUF","4","Squamish","1","0"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262024807/0/120/90/c17530073471a4297089b1492586d967/16/2edeed2f0f6f1dceb3ae6429e1119789/262024807.JPG","R2003180","S","21 4496 SUNSHINE COAST HIGHWAY","VSCSD","$95,000","9/19/2015","0","2","1","800","2002","13",,,"1","MANUF","1ST","4","Sunshine Coast","1","0"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261955186/0/120/90/bb30b9287f350d95db0c39f0262ca9d2/16/afc83c59035b50a243a4956660037e9d/261955186.JPG","V1138861","S","5 23080 DYKE ROAD","VRI90","$100,000","8/11/2015","22","1","1","510","1987","28","0.00","0","1","HOUSE","FLOAT","4","Richmond","1","0"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261959260/0/120/90/88c447d32cb2e48d9bdea69c1b661f6f/16/2ae1eca8f2a6f9333c101d2cdc9a769a/261959260.JPG","V1139115","S","82 145 KING EDWARD STREET","VCQML","$112,000","8/13/2015","35","2","1","924","1986","29",,,"1","MANUF","MANUF","5","Coquitlam","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262022669/0/120/90/a4365b1b32d1a4ff51a8dc51d1b6e0a3/16/5ce0bba7b1e2991c8df74f3e86e46a4f/262022669.JPG","R2001042","S","57 4496 SUNSHINE COAST HIGHWAY","VSCSD","$128,000","9/11/2015","18","2","2","1,268","1979","36","0.00","0","1","MANUF","MANUF","7","Sunshine Coast","2","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261726023/0/120/90/cb3bea06ebf0b77cb4ef96c9c176e605/16/395e62c9de023247b01b54c1e5ae9eae/261726023.JPG","V1122238","S","233 TYEE DRIVE","VWVPR","$148,000","5/12/2015","120","2","2","1,120","1972","43","0.00",,"1","MANUF","1ST, MANUF","8","West Vancouver","2","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261961977/0/120/90/d0a3a1e50fd557e6f2c7e694bf7a132e/16/0505ad94f3f5fd179c451f5e93187f09/261961977.JPG","V1139304","S","12696 LAGOON ROAD","VSCPE","$160,000","8/13/2015","24","1","1","590","9999","999","144.00","651","1","HACR","RBLFT","4","Sunshine Coast","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259940483/0/120/90/56e7ed9e39121c9940d19801fa622faf/16/dbac9696daae20300d43596eb85ae31d/259940483.JPG","V981867","S","840 COTTAGE WAY","VISGL","$165,000","11/30/2012","1026","1","0","240","1993","22","657.00","205","0","HACR","RANBG","1","Islands-Van. & Gulf","0","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262002732/0/120/90/64b4a368c709e17a77c7c03e273b1612/16/01bb2d0a4270a7c3e1a66be773197753/262002732.JPG","V1142055","S","DFH#3 415 W ESPLANADE","VNVLL","$200,000","9/1/2015","28","1","1","1,120","1965","50","30.00","25","1","OTHER","2ST","5","North Vancouver","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261946403/0/120/90/ee74794cc2ebb77933602457405131e9/16/3c8c4d84274889a8a982f0119d2903ff/261946403.JPG","V1138227","S","4817 BOWSPRIT DRIVE","VSCPE","$225,000","8/7/2015","26","2","2","1,176","9999","999","85.00","136EFF","1","HOUSE","2ST","6","Sunshine Coast","2","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261898890/0/120/90/3d80dafdc3977320e40dc63ad08f4cdc/16/4b1286aa321b9bd400dc9d34316ac8f7/261898890.JPG","V1134908","S","5703 CARMEL PLACE","VSCSD","$265,000","7/16/2015","53","2","1","576","2000","15",,,"1","HOUSE","RANBG","4","Sunshine Coast","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261886508/0/120/90/d6d23cf5a493ce277fc7657caf66b01a/16/5ef9e96affbef54d770545c1513f75fb/261886508.JPG","V1133890","S","7751 LOHN ROAD","VSCHB","$268,000","7/12/2015","52","2","1","924","2006","9","82.00",,"1","MNFLD","MANUF, RANBG","5","Sunshine Coast","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261772788/0/120/90/d13b1de6a7a4dd0ab7abd574f5eae9f0/16/9d865552dae705a91fa2de090f9627d5/261772788.JPG","V1125472","S","B19 1525 COAL HARBOUR QUAY","VVWCB","$288,000","5/27/2015","118","1","1","497","1990","25","0.00",,"1","HOUSE","FLOAT","3","Vancouver West","1","0"
