"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Frontage - Feet","Depth","#Kitchens","TypeDwel","Style of Home","# Rms","Area","Full Baths","Half Baths"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261565725/0/120/90/103d5d6cf5341f41568d3d7333865d2e/16/f2a88d4cf6837b3ef041bcd2414d5cfe/261565725.JPG","V1110919","S","93 1413 SUNSHINE COAST HIGHWAY","VSCGB","$20,000","3/16/2015","88","2","1","1,000","1967","48","0.00",,"1","MANUF","MANUF","5","Sunshine Coast","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261783458/0/120/90/a68fced62dd3052f28448b414226a9fc/16/ed7b64cd1c6f5f0a6cfe20683a3c752e/261783458.JPG","V1126842","S","25 7617 PEMBERTON MEADOWS ROAD","VPEPM","$20,500","6/1/2015","14","3","1","816","1973","42","0.00",,"1","MANUF","1ST","8","Pemberton","1","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261609154/0/120/90/beb2305f36b160e6122aaa66b5094773/16/2067d0a3b4b2c960eacf7e574d681af9/261609154.JPG","V1113164","S","36 21163 LOUGHEED HIGHWAY","VMRWC","$25,000","3/25/2015","68","2","1","732","1976","39","0.00",,"1","MANUF","MANUF","5","Maple Ridge","1","0"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261744951/0/120/90/af9d051a3abff7f09fdce8800f46248f/16/97f4f7c4eebde4fa9492d4da54bd347a/261744951.JPG","V1123270","S","10 12868 229TH STREET","VMREC","$26,500","5/13/2015","31","1","1","419","1964","51","0.00",,"1","MANUF","1ST, MANUF","5","Maple Ridge","1","0"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261288687/0/120/90/e76439f3e499193e8840eb121637bfb5/16/c02b0a0ebad9eae11fe1ee875b9e05d5/261288687.JPG","V1087943","S","18 4496 SUNSHINE COAST HIGHWAY","VSCSD","$47,500","9/30/2014","246","2","1","763","1972","42","0.00",,"1","MANUF","MANUF","6","Sunshine Coast","1","0"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/db59a22ee327cd824769da377e288747/NoPhotoAvailable.jpg","V1127169","S","6 240 HARRY ROAD","VSCGB","$49,000","5/31/2015","1","2","1","816","1976","39","0.00","0","1","MANUF","MANUF","5","Sunshine Coast","1","0"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261156906/0/120/90/8984d73dd0dc08ec058d105b8f90e01d/16/e5be2479518be67e2398bc025f7b1f4b/261156906.JPG","V1077922","S","5432 MONKEY TREE LANE","VSCSD","$64,000","7/28/2014","315","3","2","1,420","1978","36","50.00","120.0","2","HOUSE","3ST","10","Sunshine Coast","2","0"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261762749/0/120/90/cc038c92d89a267087bce1c59f9d43ce/16/7746ace7195906fd5a6c6f1a66ef0542/261762749.JPG","V1124769","S","7 39768 GOVERNMENT ROAD","VSQNY","$78,000","5/22/2015","17","2","2","780","1974","41","0.00",,"1","MANUF","MANUF","6","Squamish","2","0"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261781532/0/120/90/fc5c8580c5292b3f536aa3decc3f0781/16/ad2b43b98a0ec7a7e8448b0f2ef35ee5/261781532.JPG","V1126116","S","22 7370 HIGHWAY 99","VPEPE","$85,500","6/1/2015","15","2","1","874","1997","18","0.00",,"1","MANUF","1ST","4","Pemberton","1","0"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261462214/0/120/90/e99fea32eab1a0e43f116e01135ae1a6/16/b79cd92855550ce49288d125d028f558/261462214.JPG","V1100617","S","3 5575 MASON ROAD","VSCSD","$86,000","1/16/2015","160","2","2","980","2004","11","0.00",,"1","MANUF","MANUF","6","Sunshine Coast","2","0"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261658478/0/120/90/31c159e1b88d7e95a05afae93202607f/16/302d71c57939b427faa8c6f430c5709a/261658478.JPG","V1116926","S","40 1413 SUNSHINE COAST HIGHWAY","VSCGB","$87,000","4/13/2015","58","2","2","944","2011","4","0.00",,"1","MANUF","MANUF","5","Sunshine Coast","2","0"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261507743/0/120/90/709fea5a1886d6d68763f67fca8ce4e7/16/d73877f4b7dd05b7381a26061a0b29aa/261507743.JPG","V1104689","S","182 1830 MAMQUAM ROAD","VSQGE","$90,000","2/10/2015","139","2","1","798","1982","33","0.00",,"1","MANUF","MANUF","4","Squamish","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261800256/0/120/90/adb6f428ef97b1f1154d71573c8d4066/16/66253d1fd8e793d78b5b4e28408feddb/261800256.JPG","V1127486","S","64 3295 SUNNYSIDE ROAD","VPMAN","$95,000","6/5/2015","9","3","2","1,284","1983","32",,,"1","MANUF","MANUF","8","Port Moody","2","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261768792/0/120/90/04aab8bf6b676c3dc0b80f091d417e47/16/64d9155c96eb0700ecb57251119fda41/261768792.JPG","V1125130","S","4535 HUPIT STREET","VSCSD","$95,500","5/25/2015","7","2","1","869","9999","999","0.00",,"1","HOUSE","MANUF","7","Sunshine Coast","1","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261450906/0/120/90/5c0648a872bccc39cd4a6174a49790aa/16/2362018d6823f7657e1e261b47fae773/261450906.JPG","V1099485","S","1136 NORTH END ROAD","VISSS","$108,000","1/12/2015","147","1","1","278","1990","25","42.00","16.","1","RECRE","1ST, GUNIT","4","Islands-Van. & Gulf","1","0"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261572255/0/120/90/b72bfe194004d5fb41672f7515048095/16/7269943ed54f5a711b4165cd36065da2/261572255.JPG","V1110284","S","39 19665 POPLAR DRIVE","VPICM","$110,000","3/6/2015","98","2","1","924","1978","37",,,"1","MANUF","1ST, RANBG","6","Pitt Meadows","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261709772/0/120/90/5cbc3ff67df3dce9a27f99bdfe46cbc2/16/eccae0cf43f3850c2c135ef6ddf32f67/261709772.JPG","V1120862","S","26 39768 GOVERNMENT ROAD","VSQNY","$115,000","5/1/2015","44","4","1","1,117","1973","42","0.00",,"1","MANUF","MANUF","8","Squamish","1","0"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260778701/0/120/90/3c1196e92e32bb62a552c5013a464b7b/16/cc552cf1c820f60767e78d5d0f0f86e8/260778701.JPG","V1047223","S","31 4116 BROWNING ROAD","VSCSD","$115,000","2/12/2014","477","2","1","1,220","1985","29","0.00",,"1","MANUF","RANBG","6","Sunshine Coast","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261762030/0/120/90/d0b580131d763bbb19e2e5126087a26d/16/3f6ad92acc25c2b4fa28fad1b2f579b4/261762030.JPG","V1124602","S","30 39768-39768 GOVERNMENT ROAD","VSQNY","$115,000","5/23/2015","35","2","1","1,080","2000","15","0.00",,"1","MANUF","MANUF","6","Squamish","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261714727/0/120/90/f94e2b9b12dc3778348531522c8bd317/16/f570c08f42106b48527b631f5f1e0c1b/261714727.JPG","V1121143","S","167 1830 MAMQUAM ROAD","VSQGE","$130,000","5/5/2015","37","3","2","1,130","1974","41","0.00",,"1","MANUF","MANUF","8","Squamish","1","1"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/db59a22ee327cd824769da377e288747/NoPhotoAvailable.jpg","V1127387","S","11 4116 BROWNING ROAD","VSCSD","$145,000","6/4/2015","0","2","2","1,056","1990","25","0.00",,"1","MANUF","RANBG","6","Sunshine Coast","2","0"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/db59a22ee327cd824769da377e288747/NoPhotoAvailable.jpg","V1128501","S","20121 DITTON STREET","VMRSW","$208,000","6/8/2015","5","1","1","400","9999","999","60.00","120","1","HOUSE","OTHER","3","Maple Ridge","1","0"
