"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Frontage - Feet","Depth","#Kitchens","TypeDwel","Style of Home","# Rms","Area","Full Baths","Half Baths"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262174703/0/120/90/d90ccb54365c17951ac5b3c648ea1bbc/16/1417a5fdcada3f23762aa0aceee02d68/262174703.JPG","R2153076","S","5352 SINKU DRIVE","VSCSD","$25,000","4/3/2017","6","2","1","800","1980","37","59.00","154","1","HOUSE","RANBG","5","Sunshine Coast","1","0"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262173138/0/120/90/223f2dbcdfabf606281992e16e7f3b75/16/4d4ea11dd1b5c641a5aaed48bf58a833/262173138.JPG","R2151511","S","2 12248 SUNSHINE COAST HIGHWAY","VSCPE","$25,000","3/30/2017","7","2","2","1,035","9999","999",,,"1","MANUF","1ST","7","Sunshine Coast","1","1"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262165774/0/120/90/bb1850cc70fabb7a4b2a55176e99b023/16/0752e1a315e55a0a611edb1fb14197f5/262165774.JPG","R2144147","S","#19 5288 SELMA PARK ROAD","VSCSD","$39,000","3/6/2017","42","2","1","576","1968","49",,,"1","MANUF","MANUF","5","Sunshine Coast","1","0"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262171082/0/120/90/ee96a6e3d1df16765c7e7ca907d398c1/16/f9d44fcb9fb6292b3938d1e241fb09a6/262171082.JPG","R2149455","S","11 23000 DYKE ROAD","VRI90","$49,000","3/23/2017","26","1","1","700","9999","999","0.00","0.00","1","HOUSE","FLOAT","5","Richmond","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262167975/0/120/90/54be2da49b99615de6cd20c3e83ce797/16/437677ab0bc5de443eee9c53d4a1b6b6/262167975.JPG","R2146348","S","83 201 CAYER STREET","VCQML","$75,000","3/13/2017","21","2","1","950","1973","44",,,"1","MANUF","MANUF, RANBG","6","Coquitlam","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262165771/0/120/90/e1375a7e3f770fc4e0988efbb3b481d1/16/e05dd0462819c3d938a2987118b7b566/262165771.JPG","R2144144","S","137 1830 MAMQUAM ROAD","VSQGE","$152,000","3/6/2017","36","3","1","980","1973","44",,,"1","MANUF","1ST, MANUF","7","Squamish","1","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262156435/0/120/90/061b5bd5d003fef380dd60e9de87e542/15/8ee1b6fe0db4d2cb1af2a9d12d11feae/262156435.JPG","R2134808","S","2988 N COZEN POINT","VPINM","$154,000","1/25/2017","77","1","0","511","1970","47","0.00","0.00","1","RECRE","1ST+","4","Pitt Meadows","0","0"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262166817/0/120/90/fccf293632544a0d29dfc1e7ea4804e6/16/f083891d0451316517ff382538c4be5e/262166817.JPG","R2145190","S","86 1413 SUNSHINE COAST HIGHWAY","VSCGB","$160,000","3/7/2017","43","2","1","1,084","1972","45",,,"1","MANUF","RANBG","7","Sunshine Coast","1","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262165265/0/120/90/8c581b4d205268ece01059a55c108675/16/4998eb1305af33a76666a0c454ebb6c1/262165265.JPG","R2143638","S","206 1830 MAMQUAM ROAD","VSQGE","$183,000","3/5/2017","30","2","1","720","1974","43",,,"1","MANUF","MANUF, RANBG","4","Squamish","1","0"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262152785/0/120/90/dffa6bcc77196d8a3fe0d342a3c87a96/16/1e6cffd2ad27250b0048eed8559b9934/262152785.JPG","R2131158","S","4532 HUPIT STREET","VSCSD","$197,500","1/11/2017","99","2","1","1,060","1975","42",,,"1","MANUF","RANBG","8","Sunshine Coast","1","0"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262073479/0/120/90/9e6660505333f421f606ae3a9d7d0d87/16/8cc984d8583502340fc156ca3702ba60/262073479.JPG","R2051852","S","106 PAYNE ROAD","VISST","$245,000","3/30/2016","391","2","1","1,172","1983","34","0.00",,"1","HOUSE","1ST+","7","Islands-Van. & Gulf","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262172068/0/120/90/cc9fa3e8defdba3c76d20f2a80874d5b/16/5b0444bcff67148e52b7d808169026bc/262172068.JPG","R2150441","S","177 1830 MAMQUAM ROAD","VSQGE","$261,500","3/27/2017","16","3","1","1,248","1975","42",,,"1","MANUF","MANUF","6","Squamish","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262178598/0/120/90/52ddaecbfb6f99906aea42f848b589fd/16/273efcffdfe4bda53b38bd6064d668d6/262178598.JPG","R2156971","S","503 RAINDANCE COURT","VWVPR","$280,100","4/19/2017","1","2","2","1,410","1984","33",,,"1","MANUF","MANUF","7","West Vancouver","2","0"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262153335/0/120/90/0d224546cc3f8b8973ea8ac6962be611/16/a91bb6c59ffe7500799d9be96d079d57/262153335.JPG","R2131708","S","10006 KOOCHA ROAD","VPEDY","$285,000","1/13/2017","99","2","2","2,064","1968","49","73.00","131","1","HOUSE","2ST","8","Pemberton","1","1"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262170390/0/120/90/68b1c676ddfffbaef41bb62b2973d236/16/b0cbd1756ee95dc94c7caa22b30b7dc8/262170390.JPG","R2148763","S","4618 ESQUIRE DRIVE","VSCPE","$355,000","3/21/2017","33","2","1","920","2008","9","124.00","482","1","MNFLD","1ST","5","Sunshine Coast","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262156291/0/120/90/a51ae004ef90721a7c03b4b91a9ce66d/16/d389100927bfbe74db56e7d241eb4a5e/262156291.JPG","R2134664","S","12 3871 W RIVER ROAD","VLDLA","$357,500","1/27/2017","71","2","1","1,122","1987","30","0.00","IRR","1","HOUSE","2ST","9","Ladner","1","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262166265/0/120/90/920b9a756984aa30382d0a249ac36349/16/c5d1290658843a5e951f11a8ad9e72b9/262166265.JPG","R2144638","S","5895 DEERHORN DRIVE","VSCSD","$392,000","3/8/2017","35","4","2","2,248","1975","42","75.00","115 (Average)","2","HOUSE","2ST","12","Sunshine Coast","2","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262170637/0/120/90/bba0f52825c832e5c6e86551fe7c87a3/16/3421fbb06c299c58f9a43890ab9a950c/262170637.JPG","R2149010","S","7872 FAWN ROAD","VSCHB","$399,000","3/23/2017","14","3","1","1,004","1983","34","80.00","279.","1","HOUSE","1ST","7","Sunshine Coast","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262173148/0/120/90/f0a9b4aba0deebe06f5614992f1fa818/16/a1da913c97baa110286b8d58b5c20c51/262173148.JPG","R2151521","S","764 GERUSSI LANE","VSCGB","$399,000","3/31/2017","29","2","2","1,088","2012","5",,,"1","HOUSE","RANBG","6","Sunshine Coast","2","0"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262176092/0/120/90/2d0cc02b7d0b9b879ffee3355b70276e/16/f6804b6a8a38c832538a890c974cd9aa/262176092.JPG","R2154465","S","1284 RING CREEK ROAD","VSQRC","$400,000","4/7/2017","3","1","1","750","1982","35","0.00",,"1","HOUSE","RANBG","4","Squamish","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262170419/0/120/90/f22e7e758acab29886e84b1f6c513fd7/16/cbf526f0960839be32a4d4179b41060f/262170419.JPG","R2148792","S","9920 272 STREET","VMRWH","$430,000","3/22/2017","35","4","2","2,244","1955","62","160.00","168","1","HOUSE","RBBMT","9","Maple Ridge","2","0"
