"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Frontage - Feet","Depth","#Kitchens","TypeDwel","Style of Home","# Rms","Area","Full Baths","Half Baths"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262228113/0/120/90/4170c4f948e4bb84cab5d66cd3555dc0/16/6a557dd22aff2e856feeb37dace7357b/262228113.JPG","R2206486","S","2320 GONDOLA WAY","VWHCR","$2,300,000","9/13/2017","56","4","4","2,300","2007","10","0.00",,"2","HOUSE","3ST","10","Whistler","3","1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262241695/0/120/90/5fcf9f6a03cf1993261bec1898756d3e/16/f1bd8681d02462e9f5271c47f63d6ea2/262241695.JPG","R2220068","S","177 E KINGS ROAD","VNVUL","$2,300,000","11/6/2017","17","5","5","4,050","2007","10","47.00","142","1","HOUSE","2BSMT","18","North Vancouver","4","1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262231829/0/120/90/ee0105a74a5614584c72c4e8c713b889/15/07333dbb4364f48f55b2960e4cd56694/262231829.JPG","R2210202","S","6546 GIBBONS DRIVE","VRI21","$2,300,000","9/26/2017","43","4","3","3,538","1980","37","70.00","292","1","HOUSE","2ST","11","Richmond","2","1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262231382/0/120/90/3eddd8a8e700a7b4dc655406bba8046c/16/ab4d63c94fc075beb434e25b4ab56e91/262231382.JPG","R2209755","S","6739 HUMPHRIES AVENUE","VBSHG","$2,300,000","9/26/2017","53","5","5","3,350","2017","0","50.00","111","2","HOUSE","2BSMT","16","Burnaby South","5","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262214714/0/120/90/e86c19b14b1e426c2acd706ed4de9c72/15/4556482ff7e02b84395747451282eee8/262214714.JPG","R2193087","S","2716 E 16TH AVENUE","VVERH","$2,316,190","7/31/2017","111","8","8","3,969","2017","0","33.00","139.94","4","HOUSE","2BSMT, LANE","21","Vancouver East","7","1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262244827/0/120/90/b7a4556a7671e99dc9cc7a783ec7426c/16/3f573d38fcfa02d1115dd675b5cfceaf/262244827.JPG","R2223200","S","4640 SMITH CRESCENT","VRI90","$2,320,000","11/18/2017","12","3","2","2,485","1965","53","0.00","0.00","1","HOUSE","2ST","8","Richmond","2","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262226169/0/120/90/754f4aa62c717e553e931b075c102a2d/16/b28ce03bcd9a74f6c529db019f4473e4/262226169.JPG","R2204542","S","924 LISGAR COURT","VNVBR","$2,340,000","9/11/2017","57","4","4","4,523","1996","21","79.00","130/47/130","2","HOUSE","2BSMT","18","North Vancouver","3","1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262238054/0/120/90/148dc344d5273bb8a3f3e733185692a3/16/b27ae4e5a8810d03cd7c89e0e34b3ad9/262238054.JPG","R2216427","S","2883 W 43RD AVENUE","VVWKE","$2,365,000","10/22/2017","34","2","2","1,664","1941","76","33.00","134.8","1","HOUSE","2ST","9","Vancouver West","1","1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262246021/0/120/90/4335a98242fd152e34a2cfdcab008cb2/16/b2a7044c6b75ef02594966d8a6d583ea/262246021.JPG","R2224394","S","6569 GRIFFITHS AVENUE","VBSUD","$2,375,000","11/21/2017","3","5","6","3,296","2017","0","50.00","112","2","HOUSE","2BSMT","13","Burnaby South","5","1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262227160/0/120/90/266523825e93496837c45d4742b4ee0e/16/baadec6d47de7c70db50cb0283fa09a2/262227160.JPG","R2205533","S","1565 KING ALBERT AVENUE","VCQCC","$2,388,000","9/13/2017","57","8","8","6,536","2013","4","70.00","116","4","HOUSE","2BSMT","22","Coquitlam","7","1"
