"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions","# of Kitchens","# Rms","Area","Full Baths","Half Baths"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262146669/0/120/90/9ae8c2a93d3d6aecf950c14c1bde6de1/16/26429ecfe4786d7e0bfc0d4bb1f70e53/262146669.JPG","R2125042","S","114A 2020 LONDON LANE","VWHCR","$67,000","11/18/2016","55","1","1","592","2008","9",,,"$414.04","Apartment/Condo","PETY","1","3","Whistler","1","0"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262143964/0/120/90/c4e5ad45b7d06f12e5fc5aa61e371efe/16/b148e0bcd1c34d8b776a244446988653/262143964.JPG","R2122337","S","518 4295 BLACKCOMB WAY","VWHVI","$79,000","11/8/2016","58","0","1","360","1996","21",,"1","$320.00","Apartment/Condo","NO","0","1","Whistler","1","0"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262151042/0/120/90/d01299bc8c7cae815b1718e4f1faf36e/16/ae2b9288806325191c3403ae98b37f09/262151042.JPG","R2129415","S","219C 2036 LONDON LANE","VWHCR","$85,000","1/4/2017","3","1","1","645","2001","16","Y",,"$376.21","Apartment/Condo","PETN, RENR","1","4","Whistler","1","0"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262074537/0/120/90/8df818cd0305574f83b1b7eb685746ed/16/fe6928cf09f1eeb9befed1239f532429/262074537.JPG","R2052910","S","21F 2300 NORDIC DRIVE","VWHNO","$109,000","3/31/2016","296","3","4","2,560","2002","15",,"4","$848.00","1/2 Duplex","RENN, SMKG","1","7","Whistler","3","1"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262154099/0/120/90/ff7c727f352a4f1acc808e856e8a1a7e/16/6ac0edbc2c110b12ebfefe3b18cb9c8d/262154099.JPG","R2132472","S","17G 2300 NORDIC DRIVE","VWHNO","$110,000","1/17/2017","7","3","4","2,398","2002","15",,"4","$2,545.00","1/2 Duplex","RENN","1","9","Whistler","4","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262148180/0/120/90/5d463c5b46cec2cedcf59e9b5b048651/16/ed5910cd0646b8126c42267704f162dc/262148180.JPG","R2126553","S","2H 2300 NORDIC DRIVE","VWHNO","$120,000","11/30/2016","44","4","5","2,706","2002","15",,"4","$920.00","1/2 Duplex","RENN","1","10","Whistler","5","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262143513/0/120/90/ce48bd219647150169b9f180d2777038/16/580ca6aaab97d5d6a831748af11c6e34/262143513.JPG","R2121886","S","323A 2036 LONDON LANE","VWHCR","$120,000","11/6/2016","74","2","2","894","2000","17",,"1","$478.83","Apartment/Condo","PETN","1","4","Whistler","2","0"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262155145/0/120/90/b76a7cfbeb1dd5a087230faa2bb682a3/16/368649c0a4b18315d5ec66def2409853/262155145.JPG","R2133518","S","324C 2036 LONDON LANE","VWHCR","$123,000","1/20/2017","4","2","2","952","2001","16",,,"$0.00","Apartment/Condo","NO","1","4","Whistler","2","0"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262147426/0/120/90/51df0122daaf8d4b89b25089852699a6/16/108012d254c4d9bcc3d4f9908db0791f/262147426.JPG","R2125799","S","207 7240 LINDSAY ROAD","VRI23","$143,800","11/28/2016","44","2","1","834","1974","43",,"1","$360.07","Apartment/Condo","PETR, RENY","1","6","Richmond","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262151998/0/120/90/0111de904a57f002f9176ac1f7ef9737/16/2ddb91c8c27828dff5b38700f325f8f1/262151998.JPG","R2130371","S","281 8160 WILLIAMS ROAD","VRI54","$145,000","1/7/2017","0","2","1","880","1970","47",,"1","$519.99","Apartment/Condo","NO","1","6","Richmond","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262153051/0/120/90/7dca5f914f293a2f0053c2ba5055c518/16/aa286d53befa60a22561898423d01eae/262153051.JPG","R2131424","S","303 A 2020 LONDON LANE","VWHCR","$154,000","1/16/2017","14","2","2","1,008","2008","9",,"1","$698.00","Recreational","PETY, RENR","1","4","Whistler","2","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262151645/0/120/90/3a44bcfe86e8befb172bc85ef05d07ba/16/e13ae1ea14e48e6a93a05cc29ccc59d7/262151645.JPG","R2130018","S","308 6420 BUSWELL STREET","VRI60","$155,000","1/9/2017","15","1","1","656","1974","43",,"1","$298.00","Apartment/Condo","RENR","1","4","Richmond","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262152688/0/120/90/d8f2b67d0f01d8e2fc2e8ef1ab8253e2/16/346ddb76e8f3e7a7c5592bcbc3548ccb/262152688.JPG","R2131061","S","206 215 MOWAT STREET","VNWUP","$160,000","1/12/2017","5","1","1","587","1977","40","Y","1","$311.06","Apartment/Condo","PETR, RENR","1","6","New Westminster","1","0"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262144881/0/120/90/6305a9f468074eecc3145e468ddd8255/16/89f02846aeddb9f75343d79106869b29/262144881.JPG","R2123254","S","308 7240 LINDSAY STREET","VRI23","$178,800","11/14/2016","58","3","1","1,057","1974","43","N","1","$456.43","Apartment/Condo","PETR, RENY","1","7","Richmond","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262149508/0/120/90/fff69bdaa76c34d27f5af71c7b44360a/16/522d2fdb0ca1d7d3823e9479b98558af/262149508.JPG","R2127881","S","105 315 TENTH STREET","VNWUP","$179,600","12/15/2016","45","1","1","645","1982","35","Y","1","$343.59","Apartment/Condo","PETR, RENR","1","5","New Westminster","1","0"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262150166/0/120/90/ee99804b019edd48e66af690dd9ed0e3/16/01d2bee4ea01bab3a578b35e5b1ca7f4/262150166.JPG","R2128539","S","301 1015 ST. ANDREWS STREET","VNWUP","$181,999","12/28/2016","25","1","1","600","1976","41","Y","1","$240.00","Apartment/Condo","PETR, RENR","1","5","New Westminster","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262153602/0/120/90/599295665c024fc6173cf9f05096cd85/16/2dca8c9a2f5d9b1b364e790d01be3d36/262153602.JPG","R2131975","S","114 1177 HOWIE AVENUE","VCQCC","$183,000","1/16/2017","4","1","1","560","1982","35",,,"$247.37","Apartment/Condo","PETR, RENY","1","4","Coquitlam","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262146367/0/120/90/8b50fc73423b4fd9a1981fed71cf5034/16/5262a33e39fc2a260d145986b7b9ee28/262146367.JPG","R2124740","S","112 155 E 5TH STREET","VNVLL","$185,000","11/22/2016","49","1","1","607","1970","47","Y","1","$287.69","Apartment/Condo","AGER, PETN, RENN","1","5","North Vancouver","1","0"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262146819/0/120/90/8810207880371e81159b8bfbe603383f/16/b25492a607a6a7ceb574e69c79671ffb/262146819.JPG","R2125192","S","307 8060 RYAN ROAD","VRI54","$185,000","11/23/2016","47","3","2","1,140","1971","46","N","1","$445.58","Apartment/Condo","PETR, RENY","1","6","Richmond","1","1"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262148646/0/120/90/274186302a6466877193330760a100c8/16/2234aa3cebeb1d611589af7ebe143abc/262148646.JPG","R2127019","S","306 8040 RYAN ROAD","VRI54","$188,000","12/6/2016","55","3","2","1,133","1971","46",,"1","$431.68","Apartment/Condo","PETN, RENY","1","6","Richmond","1","1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262156699/0/120/90/28ecde289be8f3ca27c689a4ac406f1e/16/9833902785c3672560cca6110ef6ccdd/262156699.JPG","R2135072","S","401 16 LAKEWOOD DRIVE","VVEHA","$190,000","1/25/2017","0","1","1","535","1981","36","Y",,"$234.55","Apartment/Condo","PETN, RENR","1","4","Vancouver East","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262139370/0/120/90/adf30faf497635fe353d0ae087be9e0a/16/a087f4627352e603f8648d129cd633e5/262139370.JPG","R2117743","S","408 4090 WHISTLER WAY","VWHVI","$195,000","10/14/2016","86","0","1","413","2000","17","Y",,"$0.00","Apartment/Condo","PETR, RENN, SMKG","1","3","Whistler","1","0"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262150488/0/120/90/d044a5495de640510366e47d84701d0d/16/3af77923019885eece0358c7db7e7136/262150488.JPG","R2128861","S","1 622 FARNHAM ROAD","VSCGB","$195,300","1/3/2017","5","2","1","825","1992","25",,"1","$185.00","Apartment/Condo","PETR, RENY","1","5","Sunshine Coast","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262149309/0/120/90/b5fae3df05e8a8bdff51905ffe5b7d32/16/47c3b24f9f6a6d7492e182ee2fa377c1/262149309.JPG","R2127682","S","106 230 MOWAT STREET","VNWUP","$196,000","12/14/2016","26","1","1","582","1982","35","Y","1","$253.30","Apartment/Condo","PETR, RENY","1","6","New Westminster","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262148955/0/120/90/b0a6ccaccc3bff0fb068a9599da0952d/16/874406b76f31509043a55f195c4ce074/262148955.JPG","R2127328","S","23 2437 KELLY AVENUE","VPQCE","$196,800","12/9/2016","31","2","1","873","1974","43",,"1","$284.00","Apartment/Condo","PETR, RENN","1","9","Port Coquitlam","1","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262120800/0/120/90/277c1c593e38db26730d86cf57a568fe/16/112895185858e30780f35f2528611ded/262120800.JPG","R2099173","S","666 4090 WHISTLER WAY","VWHVI","$197,000","8/9/2016","163","0","1","370","2001","16",,,"$0.00","Apartment/Condo","NO","0","1","Whistler","1","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262152880/0/120/90/2758141050f1984d01559bfdaa63a7cb/16/e6b33124bd5a33de26289aaf6443fbcc/262152880.JPG","R2131253","S","219D 2020 LONDON LANE","VWHCR","$197,000","1/12/2017","4","2","2","1,083","2008","9",,"2","$710.00","Apartment/Condo","PETY, RENY, SMKG","1","4","Whistler","2","0"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262153493/0/120/90/2c11312ed21c061378fdfb4880e7de78/16/7e13a175c43a26b427d746de31a55310/262153493.JPG","R2131866","S","909 3438 VANNESS AVENUE","VVECO","$203,000","1/16/2017","0","0","1","365","2005","12",,,"$190.00","Apartment/Condo","PETR, RENY","1","3","Vancouver East","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262147001/0/120/90/2a72e83414542b15f681d488c4378359/15/d349f22852d656e49d0e74139ce58055/262147001.JPG","R2125374","S","313 MARATHON COURT","VCQCC","$205,000","11/28/2016","38","2","1","915","1962","55","N","1","$180.00","Townhouse","PETR, RENR","1","8","Coquitlam","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262137221/0/120/90/2910dd6e0d13a75d35fd9b9e385afc99/16/cecf66b7a886c007438adace20fb6123/262137221.JPG","R2115594","S","202 22290 NORTH AVENUE","VMRWC","$209,000","10/10/2016","99","1","1","643","2009","8",,"1","$212.25","Apartment/Condo","PETR, RENY","1","6","Maple Ridge","1","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262147135/0/120/90/3ae3cc1dd4008b8ca86a12016fb3520d/16/53cfd57dd0467428aad0add4ebbfb871/262147135.JPG","R2125508","S","38 21555 DEWDNEY TRUNK ROAD","VMRWC","$210,000","11/28/2016","40","3","2","1,064","1970","47","N","1","$242.84","Townhouse","PETR, RENN","1","6","Maple Ridge","1","1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262150302/0/120/90/e33825852887b0261285380528a9a4a1/16/5f84222e250f04a3080c1a0b918d8f7c/262150302.JPG","R2128675","S","28 21555 DEWDNEY TRUNK ROAD","VMRWC","$210,000","1/3/2017","18","3","1","1,025","1970","47",,"1","$242.84","Townhouse","PETR, RENR","1","9","Maple Ridge","1","0"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262156290/0/120/90/b526108a6f5b3ae7079f64a2936bc23e/16/6d57597c55cfa94bb808c5ed3a9f7cb1/262156290.JPG","R2134663","S","212 8880 COOK ROAD","VRI60","$210,000","1/27/2017","1","1","1","626","1977","40","Y","1","$280.08","Apartment/Condo","PETR, RENR","1","5","Richmond","1","0"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262138212/0/120/90/27975ac4d43e5ca061fd495af2d44048/15/c00ed8e26ea8323e51d96d001c6154c3/262138212.JPG","R2116585","S","318 8120 COLONIAL DRIVE","VRI31","$212,500","10/10/2016","92","1","1","528","1977","40",,"1","$165.00","Apartment/Condo","RENY","1","3","Richmond","1","0"
