"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Frontage - Feet","Depth","#Kitchens","TypeDwel","Style of Home","# Rms","Area","Full Baths","Half Baths"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262201568/0/120/90/8f49ceeca4dcdefb2a70dc8158347d18/16/8c4023b7b9d7a6a146b389f8e24ef790/262201568.JPG","R2179941","S","31 1413 SUNSHINE COAST HIGHWAY","VSCGB","$45,000","6/19/2017","11","3","1","774","1977","40",,,"1","MANUF","MANUF","6","Sunshine Coast","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262199394/0/120/90/06d51609fa06d9121b081475f8144b49/16/3dc8d200245ef02fc7f914ded81c673d/262199394.JPG","R2177767","S","219 201 CAYER STREET","VCQCC","$82,500","6/12/2017","18","2","1","720","1971","46","0.00","0.0","1","MANUF","RANBG","5","Coquitlam","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262156472/0/120/90/a05899fb61d8c0a07393c41b33233ae6/16/f079ca26687b683c05fb6f5ee81a776a/262156472.JPG","R2134845","S","17 23000 DYKE ROAD","VRI90","$115,000","1/24/2017","139","2","1","950","1996","21","0.00","0.0","1","HOUSE","2ST, FLOAT","6","Richmond","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262190644/0/120/90/d6505aee1245786e61a15a8358fcc165/16/9685a406722d528f3c7e4935eb469436/262190644.JPG","R2169017","S","143 201 CAYER STREET","VCQML","$120,000","5/23/2017","9","3","2","1,152","1975","42",,,"1","MANUF","MANUF","7","Coquitlam","1","1"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262192353/0/120/90/27b602717d08a8fe3ae4032e2431ce30/16/3bbef759b7652061cfc01864c2a8cab9/262192353.JPG","R2170726","S","67 40157 GOVERNMENT ROAD","VSQGE","$158,500","5/26/2017","6","3","1","925","1973","44",,,"1","MANUF","MANUF","6","Squamish","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262196704/0/120/90/ebdedf3a711b93c5a85e608de85f837a/16/a5b59347d0b406526a2edfaf74b1fb93/262196704.JPG","R2175077","S","LOT 103 IN SHUCK CH FOREST SERVICE ROAD","VPELL","$159,000","6/5/2017","2","2","1","1,080","1980","37","50.00","286","1","HOUSE","2BSMT","6","Pemberton","1","0"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262185200/0/120/90/25a8a02342d4afa1a71c985ad3f5c232/16/4634f1e25257037dce44bd0375b8d72e/262185200.JPG","R2163573","S","301 201 CAYER STREET","VCQML","$175,000","5/4/2017","28","2","2","1,116","9999","999",,,"1","MANUF","MANUF","5","Coquitlam","1","1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262185253/0/120/90/2fb305e28d6a427a571aeeb9638a645a/16/2d2dda0e4bd2fdd42ffcbce176be968e/262185253.JPG","R2163626","S","71 40157 GOVERNMENT ROAD","VSQNY","$198,500","5/4/2017","51","2","1","1,100","1971","46",,,"1","MANUF","CORNU, MANUF","7","Squamish","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262193492/0/120/90/6e2afd36e603dddf3663cfec25137f77/16/dc0e4ea28254e748d090be42e7b0611e/262193492.JPG","R2171865","S","162 145 KING EDWARD STREET","VCQCC","$227,000","5/29/2017","14","3","2","1,179","1988","29",,,"1","MANUF","MANUF","6","Coquitlam","2","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262201975/0/120/90/cc7f721495e6f0faf7ec4df4e4798db3/16/586d78da550fe7be2a0d0cd27fb1fb29/262201975.JPG","R2180348","S","136 145 KING EDWARD STREET","VCQML","$229,000","6/21/2017","2","3","2","1,112","1974","43","0.00","0.00","1","MANUF","RANBG","7","Coquitlam","2","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262181404/0/120/90/d3f016078908d7e64b276c0b60541fc6/16/c1a16599c450d48b1733d74fed6bc3ec/262181404.JPG","R2159777","S","2306 NEW BRIGHTON ROAD","VSCGM","$250,000","4/21/2017","45","1","1","750","1993","24","152.00","168","1","HOUSE","1ST","4","Sunshine Coast","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262188233/0/120/90/b0ba77c9fcd018936a28013b183fe79b/16/57941e7daa131fcb7639596d6928911c/262188233.JPG","R2166606","S","4 39884 GOVERNMENT ROAD","VSQNY","$255,000","5/12/2017","29","2","1","740","2015","2","0.00","0.0","1","MANUF","MANUF","6","Squamish","1","0"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262203691/0/120/90/d6708938397faf97cf53dc5791d6f1dd/16/a7f10303d672a7503120123d9c3ba54e/262203691.JPG","R2182064","S","119 11952 PINYON DRIVE","VPICM","$255,000","6/26/2017","2","3","2","938","1990","27","0.00",,"1","MANUF","MANUF","5","Pitt Meadows","2","0"
