"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Frontage - Feet","Depth","#Kitchens","TypeDwel","Style of Home","# Rms","Area","Full Baths","Half Baths"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262246777/0/120/90/ddb8a66a3bdc7366db718e10f99c5931/16/ff8f34b0cdf9d6df6dd2ffafe820042e/262246777.JPG","R2225150","S","20 5288 SELMA PARK ROAD","VSCSD","$64,000","11/28/2017","24","2","1","720","1974","44",,,"1","MANUF","MANUF","4","Sunshine Coast","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262239113/0/120/90/5e8081e4499b345d491eb8509bc8e9dc/15/169874a4de6ee531ca7477aa8e86e31f/262239113.JPG","R2217486","S","103 201 CAYER STREET","VCQML","$73,000","10/25/2017","47","2","1","720","1972","45",,,"1","MANUF","RANBG","5","Coquitlam","1","0"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262248722/0/120/90/357f4f6bce9cb6932bd57c5fda0d0a0f/16/10df21aa51ceffdce7965e6c3266cb67/262248722.JPG","R2227095","S","251 TOMAHAWK AVENUE","VWVPR","$105,000","12/4/2017","8","2","1","920","1969","48",,,"1","MANUF","MANUF","6","West Vancouver","1","0"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262221307/0/120/90/a8060522f7395c5956909c4285043af4/16/305ff66ced6546a6a783a4c9400eb680/262221307.JPG","R2199680","S","227 1830 MAMQUAM ROAD","VSQGE","$113,000","8/21/2017","130","3","1","1,140","9999","999",,,"1","MANUF","MANUF","8","Squamish","1","0"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262246380/0/120/90/e2c339a0a116ed3dfcfeac13cc060f9b/16/ac1b141e960ed9e00d12807eca8c5e8c/262246380.JPG","R2224753","S","1 4514 SUNSHINE COAST HIGHWAY","VSCSD","$117,000","11/23/2017","23","2","1","680","1974","43",,,"1","MANUF","MANUF","4","Sunshine Coast","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262234534/0/120/90/bca2879e9cbec34d8cb54ce3e30df896/16/5328750a66b7ff9436790d236c29c6e6/262234534.JPG","R2212907","S","10 40157 GOVERNMENT ROAD","VSQGH","$124,000","10/10/2017","61","3","1","1,179","1973","44",,,"1","MANUF","MANUF","8","Squamish","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262239638/0/120/90/3125a6337ce359b9b79d075f0f1ba7e1/16/0ac21e3bf6bea7d6058f9cd940f55221/262239638.JPG","R2218011","S","306 201 CAYER STREET","VCQCW","$150,000","10/29/2017","42","3","1","1,070","1973","44",,,"1","MANUF","MANUF","7","Coquitlam","1","0"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262222491/0/120/90/6c807cd03ec96ced1e2f1ea0d9c4a9ee/16/75d59a730cddc0553111c78fd78e4bb1/262222491.JPG","R2200864","S","4672 COCHRANE ROAD","VSCPE","$170,000","8/29/2017","95","2","1","1,000","1985","32","98.00","99/105'","1","MNFLD","1ST","5","Sunshine Coast","1","0"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262246482/0/120/90/198632b1e15028f5ac0769a6e34798a5/16/455a8eea8b4754e337ddb76ad8a29258/262246482.JPG","R2224855","S","166 145 KING EDWARD STREET","VCQML","$216,000","11/27/2017","9","3","2","1,343","1985","32","0.00","0","1","MANUF","MANUF","8","Coquitlam","2","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262251001/0/120/90/6d4a2bce310e3d4031a3ed57fc886d3d/16/1c121cc2ec697190839338e4b6da0342/262251001.JPG","R2229374","S","38 7370 HIGHWAY 99 HIGHWAY","VPEPE","$224,000","12/22/2017","7","2","2","1,480","1996","22",,,"1","MANUF","MANUF","8","Pemberton","2","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262181749/0/120/90/b61ff593546ffc8e8fb948728379f7af/16/c9ea37cfea09bafcabecbb230b317b88/262181749.JPG","R2160122","S","13327 KAMMERLE ROAD","VSCPE","$295,000","4/26/2017","239","2","1","1,100","1950","67","141.00","132.0","1","HOUSE","RANBG","6","Sunshine Coast","1","0"
