"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions","# of Kitchens","# Rms","Area","Full Baths","Half Baths"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262158938/0/120/90/76c560cd26199c9f0559a24376ea611f/15/6a1247c9ed5ce70aaa9acf17a359ed38/262158938.JPG","R2137311","S","212 2920 ASH STREET","VVWFA","$375,000","2/6/2017","9","1","1","460","1977","40","Y",,"$275.27","Apartment/Condo","PETN, RENY","1","4","Vancouver West","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262156104/0/120/90/fcaa78f48989862442b5c95e114cad4b/16/9b1b1787f014bfb7b280cbdad935dc85/262156104.JPG","R2134477","S","208 7 RIALTO COURT","VNWQY","$375,000","1/26/2017","22","1","2","710","2005","12","N","1","$260.81","Apartment/Condo","PETR, RENY","1","4","New Westminster","1","1"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262154580/0/120/90/e6b10a5ccba32a0c7bae5eb9d2b7345a/16/71c285a491711c05602c288467073cd5/262154580.JPG","R2132953","S","425ACD 2036 LONDON LANE","VWHCR","$375,000","1/18/2017","30","2","2","950","2001","16",,,"$1,545.00","Apartment/Condo","PETN, RENY","1","4","Whistler","2","0"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262143065/0/120/90/fe5cc7d62538e40c2728a73bf87c8665/16/bf6e78a39d3c3dbac551cc7edeac737f/262143065.JPG","R2121438","S","125 8880 JONES ROAD","VRI61","$375,500","11/3/2016","99","2","2","930","1993","24","N","2","$307.22","Apartment/Condo","PETR, RENR","1","5","Richmond","2","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262161990/0/120/90/fd4f88737860ff91efeab53c13d88906/16/f0e1053e27a6d658889f0a16cbdabd5c/262161990.JPG","R2140363","S","104 12310 222 STREET","VMRWC","$375,900","2/17/2017","3","2","2","1,011","2017","0","Y","2","$283.16","Apartment/Condo","PETR, RENY","1","8","Maple Ridge","2","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262163109/0/120/90/d277c8536e4870a3ab7bf11bf8311ead/16/b106ea3e584bbd0872302b9453300498/262163109.JPG","R2141482","S","410 12310 222 STREET","VMRWC","$375,900","2/21/2017","2","2","2","1,022","2017","0","Y","2","$264.89","Apartment/Condo","PETR, RENY","1","8","Maple Ridge","2","0"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262162255/0/120/90/8724ab4d33081843d302f68b2ef63704/16/c4af517d709c8c690709e94d91528a52/262162255.JPG","R2140628","S","316 10788 NO 5 ROAD","VRI81","$377,900","2/21/2017","6","1","1","603","2018","0","N","1","$265.05","Apartment/Condo","PETR, RENY","1","5","Richmond","1","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262157042/0/120/90/d464fddae347217b6dbb2e1defa97032/16/7e5a43063b0b3a03375b84e7b0a2fad2/262157042.JPG","R2135415","S","315 1220 LASALLE PLACE","VCQCY","$378,000","1/31/2017","2","2","2","1,026","1991","26","Y","1","$285.48","Apartment/Condo","PETR, RENR","1","8","Coquitlam","2","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262156998/0/120/90/7709209a0c7cb25e5d5ea20cca62a5a4/16/5dd0c89f854eb6eca7573d3b5de3a93c/262156998.JPG","R2135371","S","404 2495 WILSON AVENUE","VPQCE","$378,000","1/30/2017","8","2","2","818","2016","1","Y","1","$230.20","Apartment/Condo","PETY, RENY","1","5","Port Coquitlam","2","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262159813/0/120/90/769fbb581e34f4ba5d615d738c816cb2/16/0584fd8113c3d1880d20bc424eac96b0/262159813.JPG","R2138186","S","205 252 W 2ND STREET","VNVLL","$378,348","2/10/2017","10","1","1","663","1974","43","Y","1","$260.35","Apartment/Condo","PETR, RENY","1","6","North Vancouver","1","0"
