"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Frontage - Feet","Depth","#Kitchens","TypeDwel","Style of Home","# Rms","Area","Full Baths","Half Baths"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262303957/0/120/90/a5b3ad4285c4b57729822289fe8abd5a/15/3bd783ab0749514765090e4c727a398b/262303957.JPG","R2282330","S","4 4200 DEWDNEY TRUNK ROAD","VCQRP","$49,000","6/20/2018","4","2","1","700","1976","42",,,"1","MANUF","RANBG","5","Coquitlam","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262290356/0/120/90/6efdb3d91a0f34a7f0c3cb75efd93f61/16/8c38a83b51f6af5ba88bc17f96f4ee8a/262290356.JPG","R2268729","S","30 40157 GOVERNMENT ROAD","VSQGE","$128,000","5/14/2018","25","4","1","1,380","1978","40",,,"1","MANUF","1ST","8","Squamish","1","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262293723/0/120/90/edfcbc2709ee08872d84538b3930592a/16/5b60c300ee3fce8d29d051973c737172/262293723.JPG","R2272096","S","8 4514 SUNSHINE COAST HIGHWAY","VSCSD","$165,000","5/24/2018","32","2","1","840","2009","9",,,"1","MANUF","1ST","5","Sunshine Coast","1","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262304485/0/120/90/1d3a74da930c2d22176bb936d8baafba/16/04e6c9ae840c77c148e986e4026e4ad6/262304485.JPG","R2282858","S","16 39768 GOVERNMENT ROAD","VSQDV","$180,000","6/21/2018","4","2","1","937","1981","37",,,"1","MANUF","MANUF","7","Squamish","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262297138/0/120/90/0d9bd54a646873260c3f8d815da51408/16/d9a3bfb99799769e653f41e792893340/262297138.JPG","R2275511","S","98 145 KING EDWARD STREET","VCQML","$205,000","6/2/2018","6","2","1","1,015","1988","30",,,"1","MANUF","MANUF","6","Coquitlam","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262294304/0/120/90/f3bb2f2fbdb53a03f846d85b13d11c3e/16/d7de470ac6bb2926d6aceaa2bad46b9f/262294304.JPG","R2272677","S","747 CASCADE CRESCENT","VSCGB","$305,000","5/25/2018","34","2","1","744","1976","42","50.00",,"1","MNFLD","MANUF","5","Sunshine Coast","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262289454/0/120/90/ba869d84425af45b4452c650908b54bc/16/1ac1fb4eed93f57ec0821d0edb5ba995/262289454.JPG","R2267827","S","25 3871 W RIVER ROAD","VLDLA","$365,000","5/13/2018","33","2","2","1,097","1983","35",,,"1","OTHER","FLOAT","6","Ladner","1","1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262252290/0/120/90/aa4159f16957e2bf21e67b78ef8bee58/16/38b5b5a7ed8a72d7f4f7609f79a478ae/262252290.JPG","R2230663","S","920 MELISSA ROAD","VISGL","$381,400","1/8/2018","156","0","1","500","1998","20","648.00","547","1","HACR","RBLFT","4","Islands-Van. & Gulf","1","0"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262275732/0/120/90/89a89bfdcdbd70d433c32124f16ca7fe/16/bc25273cc2d7bb092a9c3458c818c4cc/262275732.JPG","R2254105","S","182 MARINERS WAY","VISMA","$400,000","4/3/2018","78","2","1","1,136","1989","29","0.00",,"1","HOUSE","RBLFT","6","Islands-Van. & Gulf","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262282922/0/120/90/929d805afebb5ef6ad864c35abc6de49/16/c89753c95358e2bbbce251f4219dcf96/262282922.JPG","R2261295","S","FBH35 415 W ESPLANADE","VNVLL","$405,000","4/25/2018","59","2","2","1,154","2009","9","0.00","0.00","1","HOUSE","FLOAT","8","North Vancouver","2","0"
