"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions","# of Kitchens","# Rms","Area","Full Baths","Half Baths"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262251129/0/120/90/0c559b10fb5b3441a76a8d71479fa096/16/ef44351e634c2c59b7d4aa6118bf1500/262251129.JPG","R2229502","S","436C 2036 LONDON LANE","VWHCR","$110,000","12/29/2017","29","1","1","589","2001","17","Y","1","$365.00","Apartment/Condo","NO","1","4","Whistler","1","0"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262251980/0/120/90/b6cdcfb3645cef18c89380412231014e/16/326fe1fcb733358dd15504a1fcf0f299/262251980.JPG","R2230353","S","105D 2020 LONDON LANE","VWHCR","$112,000","1/5/2018","24","1","1","596","2008","10","Y",,"$400.00","Apartment/Condo","NO","0","2","Whistler","1","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262250566/0/120/90/05dbaf4514e81ac307389361de5b0c81/16/c667eef56bbc227386638eb4c43e8fee/262250566.JPG","R2228939","S","405A 2036 LONDON LANE","VWHCR","$112,000","12/13/2017","45","1","1","589","2001","17",,"1","$365.00","Apartment/Condo","NO","1","4","Whistler","1","0"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262213547/0/120/90/8ce72baf172891c5c5f68d8b8cb54b76/16/15b5951f940e84470e9a82b2ce83c0c5/262213547.JPG","R2191920","S","204 4295 BLACKCOMB WAY","VWHVI","$124,000","7/24/2017","173","0","1","438","1995","23",,"1","$409.88","Apartment/Condo","RENR","1","3","Whistler","1","0"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262223336/0/120/90/f378429fe5087923b18e5e9d1f9d46ba/16/c166780d81a2bcf3d59aeef465006293/262223336.JPG","R2201709","S","214 4315 NORTHLANDS BOULEVARD","VWHVI","$125,000","8/29/2017","127","0","1","269","1998","20",,"1","$282.00","Apartment/Condo","PETN, RENY","1","3","Whistler","1","0"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262219681/0/120/90/8e1bbfb340ecb80fde214e4e4e7ac53d/16/5048d289aecafac6c4b107dd0332007e/262219681.JPG","R2198054","S","202 4315 NORTHLANDS BOULEVARD","VWHVI","$135,000","8/15/2017","142","0","1","267","1998","20",,,"$304.70","Apartment/Condo","PETN","1","3","Whistler","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262188394/0/120/90/2f7674d538197eb7e196892cea4bdf39/16/65d04ed982929093a081b3a619e020d8/262188394.JPG","R2166767","S","314 4315 NORTHLANDS BOULEVARD","VWHVI","$137,500","5/12/2017","237","0","1","268","1999","19","N",,"$280.62","Apartment/Condo","NO","0","1","Whistler","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262257993/0/120/90/4c0434b9a77d4a7b753e1ad34c77dad9/16/e59e71af5bcfe28d8a85ce0b8b7c0a59/262257993.JPG","R2236366","S","429 40900 TANTALUS ROAD","VSQTA","$147,500","1/31/2018","0","1","1","529","2008","10",,,"$135.13","Apartment/Condo","RENY","1","4","Squamish","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262196283/0/120/90/7e0c7163bebe77093dd4065282a6c48f/16/7eea5181b1dc0ad3c53356ecdecb4610/262196283.JPG","R2174656","S","322D 2036 LONDON LANE","VWHCR","$148,000","6/5/2017","228","2","2","894","2000","18","Y",,"$502.00","Apartment/Condo","PETN, RENY","1","4","Whistler","2","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262239582/0/120/90/aee049ecca88c3960b6221cdc78fc1d8/16/324a0446d73c74bec9accf42689aeb96/262239582.JPG","R2217955","S","16D 2300 NORDIC DRIVE","VWHNO","$160,000","10/30/2017","75","3","5","2,449","2002","16",,"4","$2,623.00","1/2 Duplex","RENN","1","8","Whistler","4","1"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262255319/0/120/90/9e34197394826e7dcbca6260cfe3d5bc/16/fb323660230d2630899c7ceb120f3920/262255319.JPG","R2233692","S","102 1490 99 HIGHWAY","VPEPE","$167,500","1/22/2018","1","1","1","543","2004","14",,"1","$0.00","Apartment/Condo","RENN","1","3","Pemberton","1","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262227149/0/120/90/0ab81bdbee3dfb3ed08a8ce6b2960c88/16/cd59fcfa5d5899757709b615ae83d3ca/262227149.JPG","R2205522","S","325B 2036 LONDON LANE","VWHCR","$168,000","9/8/2017","127","2","2","952","2001","17","Y","1","$543.55","Apartment/Condo","RENR","1","5","Whistler","2","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262251568/0/120/90/5338fc3a2330e9652d3a8068e0cc96c2/16/5f74325ad7b0be03db3d7a25162e1bb6/262251568.JPG","R2229941","S","1203 5911 MINORU BOULEVARD","VRI60","$180,000","1/2/2018","15","1","1","502","1999","19","N","0","$161.90","Apartment/Condo","PETN","0","4","Richmond","1","0"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262230778/0/120/90/46b74abe1404773027c5d5297956cbe8/16/02d9ba780b052096ec15762587fb4fa2/262230778.JPG","R2209151","S","15 I 2300 NORDIC DRIVE","VWHNO","$195,000","9/25/2017","116","4","5","2,576","2002","16","Y","4","$920.67","1/2 Duplex","RENN","1","9","Whistler","5","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262248094/0/120/90/8735752e436c57aa56c4258e1a218bba/16/74390a2fbf80eb5d183f52e50b1b21b0/262248094.JPG","R2226467","S","110 7240 LINDSAY ROAD","VRI23","$215,000","12/3/2017","47","2","1","812","1974","44","N","1","$370.00","Apartment/Condo","PETN, RENY","1","6","Richmond","1","0"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262248303/0/120/90/83023ba539016265304ea1a4f609aa2b/16/b2dc111aa50788dedc98feb995852e10/262248303.JPG","R2226676","S","201 36 E 14TH AVENUE","VVEMP","$225,000","12/5/2017","48","1","1","433","1965","53","Y",,"$302.00","Apartment/Condo","AGER, PETN, RENY","1","4","Vancouver East","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262252796/0/120/90/d04f1ee8361070a17bcf15061d1818a6/16/df2f32da8a9294e0d5fc530e4f9c77fd/262252796.JPG","R2231169","S","11 21555 DEWDNEY TRUNK ROAD","VMRWC","$225,000","1/9/2018","21","1","1","500","1970","48","N","2","$155.00","1/2 Duplex","PETY, RENR","1","3","Maple Ridge","1","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262253357/0/120/90/998bdf4dcc32581e47af20f14672b53d/16/61e02c5380330e96f3152ff82adef4a3/262253357.JPG","R2231730","S","118D 2020 LONDON LANE","VWHCR","$233,000","1/12/2018","8","2","2","1,070","2008","10","Y",,"$765.68","Apartment/Condo","PETR","1","5","Whistler","2","0"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262256706/0/120/90/7b07ce991074fa89d9a84bb077f3e896/16/5eb44175b29a9649126814449aefe170/262256706.JPG","R2235079","S","516 4090 WHISTLER WAY","VWHVI","$239,000","1/24/2018","5","0","1","390","2000","18",,,"$0.00","Apartment/Condo","PETR, RENR","1","2","Whistler","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262253620/0/120/90/f5a9c8b4800130af08486b9d604b9584/16/64371aed3ffd41a01fc1bc59b4373327/262253620.JPG","R2231993","S","407 331 KNOX STREET","VNWSA","$240,000","1/15/2018","7","0","1","442","1973","45","Y","1","$358.69","Apartment/Condo","PETR, RENR","1","4","New Westminster","1","0"
